File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
test,2,127,1542,25184,720,0.0698,15.48,0.0998,0.0905
test,2,149,1223,30814,980,0.0703,21.8553,0.1131,0.0948
test,2,84,1002,13097,638,0.0333,3.7913,0.0468,0.0374
test,2,80,1326,9029,257,0.0122,1.8247,0.0159,0.0432
test,2,149,1356,34652,1116,0.11,30.4442,0.1719,0.0826
test,2,131,829,30044,1478,0.1436,20.9431,0.2023,0.0609
test,2,97,1668,20347,1005,0.0831,11.8074,0.1301,0.0473
test,2,146,1473,48220,2450,0.3156,53.469,0.4558,0.1355
test,2,95,1063,17423,811,0.047,6.0661,0.0672,0.0335
test,2,82,495,7164,222,0.0099,1.0534,0.0121,0.0427
test,2,88,488,11027,550,0.045,2.5875,0.0643,0.0675
test,2,90,1791,19764,956,0.0662,8.8812,0.0928,0.0818
test,2,139,984,37082,1911,0.2498,30.2386,0.401,0.1247
test,2,132,1668,28498,899,0.0662,18.6643,0.0914,0.0764
test,2,128,955,29687,1392,0.1198,22.0351,0.1714,0.1137
test,2,137,858,25321,794,0.0763,16.0515,0.1015,0.1028
test,2,143,1751,48091,2311,0.3219,54.0882,0.7258,0.125
test,2,99,462,14361,705,0.038,4.8207,0.0543,0.0292
test,2,129,1398,25112,759,0.0576,14.7551,0.0768,0.0673
test,2,112,577,14353,412,0.0212,4.8319,0.0395,0.0569
test,2,124,594,18190,609,0.0363,8.3745,0.0529,0.0618
test,2,95,509,10067,342,0.0165,2.7937,0.0232,0.0502
test,2,109,1275,17132,533,0.0356,7.7453,0.0453,0.0622
test,2,96,1386,19198,955,0.0689,9.6879,0.0931,0.0691
test,2,83,1248,14272,733,0.0432,4.1566,0.0598,0.0314
test,2,138,1308,40177,1939,0.2181,38.5826,0.3556,0.1052
test,2,92,1854,19592,976,0.0933,12.5414,0.1597,0.0829
test,2,129,1312,24911,716,0.0578,17.0374,0.076,0.054
test,2,120,356,14789,464,0.0218,4.4825,0.0321,0.0665
test,2,112,590,20595,1028,0.0852,8.3748,0.1002,0.0674
test,2,81,435,7164,237,0.0095,1.1206,0.0131,0.0397
test,2,120,1370,32830,1563,0.167,25.7745,0.2349,0.0979
test,2,86,1915,18394,893,0.1637,10.3532,0.1491,0.0751
test,2,118,1242,29358,1433,0.1366,19.8796,0.1884,0.0719
test,2,86,1219,10415,324,0.0152,2.2849,0.0217,0.0455
test,2,97,513,10266,348,0.0156,2.2111,0.0216,0.045
test,2,101,408,14123,696,0.0352,3.9169,0.0494,0.0677
test,2,137,1788,44118,2244,0.2823,38.3551,0.4201,0.1312
test,2,124,719,26223,1286,0.0932,12.8746,0.1363,0.0787
test,2,108,1701,25610,1239,0.0985,13.0913,0.1375,0.0835
test,2,102,565,11709,362,0.0172,2.7167,0.0232,0.0505
test,2,118,501,21200,1096,0.067,8.4654,0.1095,0.0711
test,2,117,1999,34114,1638,0.1655,23.1189,0.2357,0.0982
test,2,92,679,10100,313,0.0149,2.1057,0.0195,0.0487
test,2,106,1917,18143,554,0.0332,6.7557,0.0451,0.0632
test,2,80,483,9584,479,0.0221,1.8531,0.0283,0.0604
test,2,104,1281,23274,1194,0.093,11.4373,0.131,0.094
test,2,113,499,14561,451,0.025,4.2963,0.033,0.0644
test,2,102,618,12327,362,0.0206,3.4623,0.0235,0.0541
test,2,108,1486,17584,522,0.0295,6.3165,0.0393,0.0706
test,2,116,455,20203,1034,0.0592,7.6535,0.0914,0.0799
test,2,84,1803,17266,850,0.0515,6.1607,0.0702,0.0806
test,2,126,1559,25990,783,0.0533,13.5906,0.0742,0.0885
test,2,111,1041,16587,517,0.0422,5.6206,0.0398,0.0618
test,2,83,1151,9478,303,0.017,1.8926,0.019,0.0495
test,2,90,1231,16418,807,0.0492,5.5165,0.0638,0.0757
test,2,98,745,11143,318,0.015,2.4793,0.0322,0.0488
test,2,126,1096,31623,1581,0.1426,19.4481,0.2049,0.071
test,2,134,990,34965,1747,0.1681,22.961,0.2607,0.0959
test,2,143,1801,34672,1035,0.0805,24.0688,0.1155,0.0893
test,2,105,1409,23765,1189,0.0931,11.2669,0.1421,0.078
test,2,86,1629,11761,380,0.0188,2.9586,0.0251,0.0216
test,2,82,876,11903,599,0.0411,2.9144,0.0395,0.0549
test,2,81,1018,8301,247,0.0114,1.438,0.0142,0.045
test,2,103,1148,15246,473,0.027,4.6916,0.0338,0.065
test,2,91,1847,14697,449,0.024,4.4394,0.0312,0.0572
test,2,127,1555,25078,757,0.0476,12.4635,0.0672,0.0748
test,2,121,1616,23737,726,0.0465,11.2512,0.0637,0.071
test,2,89,1181,11327,332,0.017,2.6805,0.0216,0.0522
test,2,137,1638,44134,2204,0.2794,38.2886,0.4027,0.0848
test,2,132,750,29381,1446,0.1124,16.1065,0.1707,0.1001
test,2,149,1343,35013,1107,0.0856,23.9318,0.1249,0.1064
test,2,123,873,27392,1385,0.1083,14.2552,0.1609,0.0816
test,2,92,1227,12447,388,0.0187,3.1774,0.0258,0.0532
test,2,106,469,12101,396,0.0179,2.9357,0.025,0.0518
test,2,82,989,13124,688,0.0353,3.4838,0.047,0.0686
test,2,110,1550,25547,1223,0.098,12.8693,0.1334,0.0602
test,2,142,1676,44257,2204,0.2827,40.022,0.3851,0.085
test,2,96,1213,13900,432,0.024,3.9424,0.0297,0.069
test,2,93,414,11448,573,0.0237,2.5849,0.0354,0.0221
test,2,134,399,18895,622,0.0313,6.7608,0.0475,0.0728
test,2,116,1172,26700,1335,0.1063,13.7202,0.1521,0.0946
test,2,145,374,28824,1439,0.0996,15.0106,0.1608,0.0797
test,2,89,1975,19620,977,0.0674,7.7845,0.1065,0.0694
test,2,103,786,13302,395,0.0192,3.5537,0.0265,0.0237
test,2,136,1676,30231,927,0.0676,18.1451,0.0952,0.0951
test,2,111,944,16732,497,0.0278,5.4921,0.0361,0.0712
test,2,120,1368,30547,1476,0.1328,18.2175,0.1861,0.0997
test,2,116,1652,20882,680,0.0406,8.7035,0.0558,0.0678
test,2,126,488,23631,1171,0.0758,10.463,0.1146,0.0872
test,2,149,756,37709,1868,0.187,26.4142,0.2731,0.0692
test,2,90,1282,17364,840,0.0528,6.1244,0.0722,0.0695
test,2,88,1096,15152,776,0.0451,4.7671,0.0615,0.0583
test,2,139,1840,50217,2448,0.3429,49.2367,0.4802,0.1401
test,2,127,1991,39673,1885,0.216,30.3348,0.323,0.1062
test,2,98,806,17764,896,0.0562,6.2849,0.0746,0.0782
test,2,85,1901,12014,371,0.0188,3.0963,0.0242,0.0516
test,2,146,1332,32266,1015,0.0749,20.347,0.1076,0.085
test,2,138,496,20977,685,0.0372,8.3123,0.057,0.0658
test,2,90,1198,16650,800,0.0464,5.8257,0.0642,0.0773
test,2,86,637,8931,284,0.0129,1.6315,0.0166,0.0458
test,2,145,811,26637,797,0.0498,13.5659,0.0817,0.0738
test,2,121,1724,33737,1653,0.1693,22.1258,0.2381,0.092
test,2,132,1495,40346,1948,0.229,31.0557,0.3144,0.1051
test,2,101,1736,16270,496,0.0295,5.3641,0.0373,0.0744
test,2,145,732,24918,789,0.0465,12.0221,0.0738,0.0711
test,2,97,1594,22286,1100,0.0859,9.8857,0.1243,0.0748
test,2,118,823,17120,537,0.0282,5.8967,0.0493,0.0601
test,2,131,1687,27379,826,0.0569,14.9388,0.0781,0.0461
test,2,87,365,9987,518,0.0206,1.9677,0.0304,0.02
test,2,116,1974,23084,699,0.0452,10.8742,0.0621,0.0811
test,2,132,571,19933,599,0.0322,7.5684,0.046,0.0739
test,2,94,1277,17834,862,0.0622,6.4516,0.0721,0.0644
test,2,89,1570,12421,365,0.0189,3.3106,0.0235,0.0525
test,2,125,1823,37027,1850,0.1928,27.2432,0.2828,0.1136
test,2,88,664,9197,288,0.0135,1.7376,0.018,0.0475
test,2,127,1040,32977,1585,0.1549,20.802,0.2042,0.093
test,2,90,1872,20313,1012,0.072,8.1369,0.1011,0.041
test,2,124,1581,24192,733,0.0475,11.6793,0.0638,0.0726
test,2,96,1031,12453,430,0.0209,3.1363,0.0275,0.0632
test,2,134,1898,31784,939,0.0795,20.2462,0.0996,0.0548
test,2,137,971,25272,833,0.0515,12.2384,0.0765,0.0864
test,2,144,506,31674,1542,0.1233,18.9376,0.1803,0.0987
test,2,116,376,19353,1006,0.0548,6.9175,0.0837,0.0803
test,2,117,586,16112,477,0.0246,5.2122,0.0342,0.0276
test,2,121,1952,37419,1780,0.2054,37.7876,0.2878,0.1218
test,2,94,577,13733,666,0.0371,4.1557,0.0581,0.0602
test,2,141,1900,53139,2559,0.415,67.4666,0.6058,0.1621
test,2,101,1316,15340,445,0.0295,5.5831,0.0341,0.0801
test,2,137,718,22190,690,0.0526,13.2952,0.0604,0.076
test,2,125,1818,25451,800,0.1046,16.342,0.1265,0.1128
test,2,90,1031,10963,322,0.0155,5.2726,0.0318,0.019
test,2,112,1604,20397,588,0.0447,9.4814,0.0587,0.08
test,2,142,658,34007,1716,0.1951,27.3302,0.2618,0.1001
test,2,98,560,14710,720,0.04,4.7273,0.057,0.044
test,2,140,1853,48710,2372,0.387,62.4207,0.9795,0.0993
test,2,146,973,29111,871,0.0714,25.2927,0.0943,0.1134
test,2,118,1612,31823,1577,0.219,29.7111,0.2815,0.1275
test,2,123,1909,26673,802,0.0591,18.6662,0.0879,0.0796
test,2,132,724,21568,677,0.0418,10.1198,0.0571,0.0975
test,2,119,822,18735,643,0.0366,7.8339,0.063,0.0676
test,2,90,482,8819,298,0.0156,1.804,0.0197,0.049
test,2,90,987,15844,784,0.0559,7.3651,0.0614,0.0628
test,2,116,1313,28345,1393,0.1156,15.8923,0.1674,0.0957
test,2,126,733,19962,619,0.0351,7.9331,0.0504,0.0652
test,2,133,961,34159,1635,0.1584,24.3862,0.2442,0.1254
test,2,99,1486,22655,1130,0.0953,11.3589,0.125,0.1046
test,2,95,423,13087,626,0.0312,3.966,0.0447,0.0565
test,2,129,1696,26841,803,0.0697,21.7233,0.0942,0.0926
test,2,91,1671,17877,862,0.0627,8.1716,0.0961,0.0829
test,2,112,713,15269,466,0.0365,7.2456,0.0412,0.0545
test,2,103,780,17772,906,0.0598,8.0266,0.1054,0.0835
test,2,99,1734,21984,1100,0.0874,15.2639,0.1206,0.0867
test,2,105,1300,15568,531,0.0333,6.4426,0.0414,0.0762
test,2,136,531,27682,1352,0.1056,18.2334,0.157,0.099
test,2,125,1952,37861,1859,0.226,32.762,0.3401,0.1115
test,2,130,1139,24003,727,0.0586,15.1252,0.0689,0.0959
test,2,112,863,21937,1097,0.107,10.7387,0.1091,0.0972
test,2,94,808,10493,321,0.0158,2.5711,0.0202,0.0499
test,2,139,1929,47757,2244,0.3154,59.2314,0.4742,0.1689
test,2,84,922,9009,276,0.0125,1.8798,0.0173,0.0169
