File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
test0745,2,132,497,26486,1332,0.1398,26.1287,0.2072,0.0675
test1002,2,100,1548,24047,1113,0.1292,20.6508,0.1707,0.0736
test1086,2,107,389,11428,388,0.0242,4.0134,0.0345,0.0264
test1256,2,147,837,38668,1907,0.3141,46.095,0.4122,0.1287
test0705,2,102,903,13635,426,0.0425,6.5849,0.0534,0.0526
test1094,2,112,929,22149,1118,0.1014,18.4914,0.1449,0.0576
test0390,2,103,410,14608,819,0.053,6.5134,0.0869,0.0361
test0016,2,122,664,23891,1193,0.1479,18.362,0.1937,0.0907
test1349,2,97,1869,21902,1094,0.1219,15.0396,0.1659,0.0635
test0306,2,109,1306,17574,512,0.0556,10.8216,0.0878,0.0598
test1159,2,99,430,10191,310,0.0199,3.5511,0.0272,0.0245
test0835,2,130,911,31190,1495,0.2016,32.6932,0.4652,0.0832
test1417,2,143,1133,29206,929,0.1127,31.9179,0.1555,0.0838
test1148,2,99,1223,13414,407,0.0354,6.6663,0.0496,0.0438
test0256,2,97,1080,12798,389,0.0293,6.2161,0.0389,0.0414
test1258,2,118,1807,22430,716,0.1045,19.3042,0.1433,0.071
test0581,2,143,1955,35200,1061,0.1786,48.6159,0.2606,0.1378
test0100,2,129,934,22015,678,0.0562,15.2282,0.0796,0.0494
test0102,2,103,556,12094,363,0.0246,4.3226,0.0328,0.0287
test0800,2,82,1043,12793,650,0.0473,7.157,0.063,0.036
test0320,2,115,1419,29129,1436,0.1795,30.1597,0.2676,0.0791
test1020,2,112,1334,18772,572,0.0509,10.3109,0.0689,0.0479
test0231,2,126,588,17701,571,0.0398,11.2793,0.059,0.0396
test0062,2,110,807,21302,1065,0.1104,13.1919,0.1373,0.0553
test1257,2,125,785,19163,590,0.0512,10.7113,0.0725,0.0532
test0892,2,123,1173,29709,1471,0.1818,29.0013,0.3293,0.0809
test0910,2,86,1773,16301,806,0.0677,8.8127,0.106,0.0448
test0570,2,131,1902,29182,903,0.0992,28.1772,0.1942,0.0768
test0398,2,137,989,24501,756,0.0678,19.3331,0.0999,0.0654
test0028,2,93,1021,11638,375,0.0263,5.7088,0.0352,0.0296
test0350,2,99,1123,13958,436,0.0294,6.1689,0.0422,0.0312
test1327,2,98,1136,13271,398,0.0296,5.3798,0.0422,0.032
test0594,2,112,769,15286,469,0.0337,7.2593,0.0601,0.0386
test0533,2,110,779,20728,1007,0.0923,12.9133,0.1505,0.0536
test0343,2,106,672,18437,938,0.0819,10.7873,0.1181,0.055
test0807,2,117,1513,31459,1541,0.216,30.1772,0.3168,0.0901
