File,Gamma,V,T,E,V_living,G_Edges,BBR19,LS,LSAR,DEC
test,2,132,497,26486,24387,1332,770,770,768,779
test,2,100,1548,24047,30952,1113,801,799,798,795
test,2,107,389,11428,9302,388,212,210,210,211
test,2,147,837,38668,38983,1907,1146,1147,1146,1180
test,2,102,903,13635,14401,426,265,265,267,263
test,2,112,929,22149,24323,1118,658,656,656,665
test,2,103,410,14608,13385,819,435,432,432,438
test,2,122,664,23891,24205,1193,729,724,725,734
test,2,97,1869,21902,28932,1094,762,760,761,759
test,2,109,1306,17574,20129,512,345,346,346,339
test,2,99,430,10191,8793,310,170,171,170,169
test,2,130,911,31190,33753,1495,927,925,925,933
test,2,143,1133,29206,31103,929,560,556,556,563
test,2,99,1223,13414,14878,407,254,256,256,247
test,2,97,1080,12798,14041,389,245,246,246,236
test,2,118,1807,22430,26804,716,456,453,453,443
test,2,143,1955,35200,41906,1061,703,702,702,697
test,2,129,934,22015,22287,678,419,416,416,422
test,2,103,556,12094,11244,363,216,214,215,216
test,2,82,1043,12793,15468,650,437,435,434,432
test,2,115,1419,29129,35862,1436,962,964,964,962
test,2,112,1334,18772,21324,572,385,384,386,378
test,2,126,588,17701,15651,571,291,285,285,292
test,2,110,807,21302,23362,1065,664,662,662,677
test,2,125,785,19163,18328,590,326,324,324,325
test,2,123,1173,29709,34137,1471,953,950,950,961
test,2,86,1773,16301,21387,806,582,581,581,575
test,2,131,1902,29182,35504,903,585,580,579,580
test,2,137,989,24501,24723,756,444,442,442,439
test,2,93,1021,11638,12594,375,246,246,245,240
test,2,99,1123,13958,15620,436,259,259,260,252
test,2,98,1136,13271,14953,398,264,263,263,258
test,2,112,769,15286,14919,469,254,251,251,253
test,2,110,779,20728,22074,1007,638,636,635,638
test,2,106,672,18437,19235,938,551,552,552,562
test,2,117,1513,31459,38717,1541,1087,1089,1088,1095
test,2,115,1242,19985,22711,638,379,378,380,372
test,2,85,399,7420,6531,240,136,133,132,136
test,2,83,1754,11333,14358,366,259,257,257,253
test,2,87,1209,11088,13027,344,233,232,231,226
test,2,142,1576,44608,53592,2208,1495,1496,1497,1527
test,2,137,1446,28140,31556,862,530,526,524,527
test,2,136,1822,41939,51595,2168,1449,1455,1455,1469
test,2,150,413,32063,26188,1637,846,849,849,880
test,2,120,1586,23056,27128,700,452,451,451,448
test,2,80,724,10704,12246,523,325,321,322,325
test,2,95,1162,19083,23146,956,618,619,619,618
test,2,137,1102,26312,27699,809,502,503,502,501
test,2,93,1619,19388,25032,935,643,639,639,633
test,2,141,570,22318,19543,710,376,372,372,378
test,2,90,377,8118,6750,258,136,135,135,133
test,2,146,1847,34242,39829,1050,697,696,696,692
