File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
test0174,2,12,81,5346,5280,0.2907,1.1065,1.8314,0.0766
test0071,2,17,57,7752,7616,0.2854,2.5108,2.0002,0.1357
test1195,2,30,47,20445,20010,0.7498,12.0096,9.3945,0.5671
test0751,2,35,46,27370,26775,1.2014,18.868,15.5999,0.2865
test0777,2,15,83,8715,8610,0.2177,1.4714,1.3091,0.0578
test1281,2,34,43,24123,23562,0.6824,16.1055,12.1007,0.246
test0719,2,11,78,4290,4235,0.0862,0.4501,0.6441,0.0457
test0768,2,26,43,13975,13650,0.7254,5.0077,6.9586,0.0645
test0552,2,25,82,24600,24300,1.0178,9.8787,10.0733,0.268
test0043,2,16,41,4920,4800,0.3544,1.3401,1.3452,0.0503
test0696,2,19,70,11970,11799,0.484,3.3414,3.76,0.09
test1022,2,34,48,26928,26367,1.2513,17.9879,18.405,0.4785
test0298,2,19,66,11286,11115,0.2975,2.5455,4.0448,0.0587
test0371,2,27,64,22464,22113,0.7421,8.5765,8.0314,0.0731
test1114,2,30,50,21750,21315,0.7678,8.2835,9.0781,0.0795
test0370,2,11,73,4015,3960,0.0686,0.3699,0.3844,0.0174
test0092,2,22,61,14091,13860,0.3594,3.5993,3.8408,0.054
test0588,2,19,55,9405,9234,0.3107,1.8138,1.9544,0.0382
test1307,2,33,56,29568,29040,1.0039,12.6871,14.1247,0.3146
test1180,2,35,45,26775,26180,0.7813,12.4431,14.3929,0.2804
test0905,2,34,47,26367,25806,0.8764,12.7019,13.2724,0.3049
test1263,2,32,46,22816,22320,0.6252,9.5971,10.2377,0.2464
test0915,2,31,40,18600,18135,0.543,7.2208,8.8345,0.0908
test0291,2,22,76,17556,17325,0.6892,5.8399,5.8705,0.0924
test0142,2,25,79,23700,23400,1.1149,14.1473,12.1545,0.1294
test0685,2,27,61,21411,21060,0.8923,8.2286,11.0533,0.0991
test0622,2,19,91,15561,15390,0.9115,5.8419,6.3559,0.5679
test0334,2,25,52,15600,15300,0.3974,4.7833,8.3007,0.2217
test1347,2,30,51,22185,21750,0.6617,10.6704,10.3856,0.2245
test1229,2,35,44,26180,25585,0.8592,15.1968,16.3756,0.3834
test0450,2,16,90,10800,10680,0.3375,2.1265,2.2736,0.0485
test0780,2,17,60,8160,8024,0.2223,2.4435,2.5586,0.0532
test0108,2,20,56,10640,10450,0.469,4.9826,5.7696,0.1192
test0842,2,20,68,12920,12730,0.3786,4.5895,3.3918,0.2035
test0589,2,20,48,9120,8930,0.5938,3.2085,3.5549,0.1037
test0262,2,24,72,19872,19596,0.8159,8.0128,9.1293,0.3652
test0990,2,33,50,26400,25872,0.8596,13.5815,14.4928,0.2964
test1252,2,33,41,21648,21120,0.6186,10.4815,11.7674,0.2604
test0951,2,36,46,28980,28350,0.9808,17.0078,18.2203,0.3338
test0511,2,35,49,29155,28560,1.0261,15.1376,17.4819,0.1258
test1244,2,33,46,24288,23760,0.7327,11.728,13.5518,0.2803
test0820,2,16,46,5520,5400,0.0937,1.0563,1.1854,0.0547
test0437,2,21,66,13860,13650,0.4138,3.3974,3.9051,0.1788
test1174,2,32,56,27776,27280,0.9952,13.5006,14.7362,0.1215
test1269,2,32,59,29264,28768,1.1409,13.9999,15.0866,0.3472
test0972,2,30,44,19140,18705,0.5086,7.7907,8.7623,0.2293
test0613,2,32,48,23808,23312,0.7412,10.7683,14.0621,0.1201
test0992,2,36,41,25830,25200,1.2674,22.7567,25.0773,0.5112
test1351,2,35,40,23800,23205,0.6558,15.4565,15.1693,0.279
test0005,2,24,64,17664,17388,0.8977,6.1027,5.9614,0.0855
test0572,2,21,97,20370,20160,0.8685,5.4307,5.8705,0.2371
test0338,2,28,63,23814,23436,1.0639,8.966,10.7932,0.1155
test0855,2,30,49,21315,20880,0.7715,8.9562,9.9227,0.1106
test1156,2,32,54,26784,26288,0.9693,12.2149,14.4537,0.1174
test0802,2,11,86,4730,4675,0.1008,0.528,0.6822,0.0491
test1224,2,32,43,21328,20832,0.5694,10.1983,13.7309,0.1052
test1021,2,32,50,24800,24304,0.7644,12.0705,12.8082,0.2564
test0783,2,25,95,28500,28200,1.8788,12.6857,16.2906,0.2995
test0551,2,14,54,4914,4823,0.2111,0.978,1.8322,0.4727
test0348,2,19,59,10089,9918,0.354,3.1401,2.6716,0.0715
test0120,2,12,41,2706,2640,0.0303,0.3062,0.3172,0.0181
test0680,2,22,62,14322,14091,0.3878,3.9779,4.9163,0.0837
test0741,2,12,69,4554,4488,0.0911,0.5502,0.804,0.0262
test0443,2,25,64,19200,18900,0.8256,6.4571,11.5045,0.2091
test1366,2,37,45,29970,29304,1.8532,25.2319,29.6313,0.4779
test1140,2,30,53,23055,22620,1.2086,17.4442,16.4628,0.5165
test0315,2,26,78,25350,25025,1.9259,12.6929,14.0735,0.3941
test0425,2,13,69,5382,5304,0.2875,0.7296,1.089,0.0557
test0354,2,10,100,4500,4455,0.1927,0.8029,0.6948,0.0637
test0446,2,27,53,18603,18252,1.3784,10.9777,10.9747,0.1385
test0344,2,28,72,27216,26838,1.0737,13.0766,13.6085,0.0903
test0917,2,43,42,23563,23001,1.1264,14.4892,22.7638,0.5239
test0013,2,33,43,22704,22176,0.6277,14.9654,12.0708,0.2712
test1413,2,34,46,25806,25245,0.7857,15.2664,14.4954,0.2677
test0691,2,17,89,12104,11968,0.3867,2.3974,3.2713,0.0744
test0697,2,20,65,12350,12160,0.7863,3.6668,6.165,0.1452
test0017,2,26,55,17875,17550,1.0023,9.8264,9.8534,0.2204
test0789,2,16,41,4920,4800,0.0664,1.0719,0.9325,0.0499
test0161,2,30,40,17400,16965,0.6577,9.3587,13.814,0.0965
test0776,2,10,74,3330,3285,0.0567,0.3287,0.3856,0.017
test0103,2,32,58,28768,28272,1.4598,20.1548,19.1498,0.1592
test0432,2,27,61,21411,21060,1.2432,9.5459,14.7477,0.1406
test0927,2,34,43,24123,23562,0.9669,15.8046,18.1961,0.1128
test0172,2,17,63,8568,8432,0.1882,1.5155,1.9184,0.0598
test0173,2,30,63,27405,26970,1.0543,11.6598,21.441,0.3652
test1306,2,30,50,21750,21315,1.2172,11.6522,12.0202,0.3294
test0372,2,12,68,4488,4422,0.0791,0.5285,0.5874,0.0451
test1254,2,34,49,27489,26928,0.8726,13.8144,16.6686,0.1151
test0540,2,39,40,29640,28899,1.6561,22.1384,30.1449,0.6406
test0129,2,34,50,28050,27489,1.0015,16.578,23.7749,0.1412
test0762,2,13,86,6708,6630,0.3698,0.8354,0.9531,0.053
test0292,2,14,67,6097,6006,0.2942,0.923,1.8108,0.0689
test0888,2,33,42,22176,21648,0.6144,13.6435,11.8297,0.2705
test0553,2,15,72,7560,7455,0.2201,2.8747,3.4453,0.3234
test0312,2,17,41,5576,5440,0.0846,1.4582,1.1514,0.0512
test0611,2,24,43,11868,11592,0.3393,3.681,3.6951,0.068
test1057,2,37,41,27306,26640,0.8632,17.9739,27.1265,0.2745
test0154,2,17,40,5440,5304,0.2447,1.4656,2.6659,0.6594
test0242,2,13,90,7020,6942,0.2266,1.2452,1.6181,0.0603
test0632,2,20,75,14250,14060,0.5597,6.579,5.6311,0.1812
test0969,2,31,59,27435,26970,1.8392,14.1799,13.9636,0.263
test0259,2,21,86,18060,17850,0.8874,5.2511,6.5896,0.0904
test0880,2,33,53,27984,27456,1.1083,15.5941,22.8278,0.1075
test0689,2,17,64,8704,8568,0.3759,2.4423,2.0582,0.6977
test0239,2,18,41,6273,6120,0.0904,1.1379,1.1891,0.1252
test0205,2,17,67,9112,8976,0.2749,1.7676,1.6217,0.0581
test0911,2,34,43,24123,23562,0.816,11.1931,17.783,0.0937
test0764,2,12,58,3828,3762,0.0987,1.2279,0.6085,0.0315
test1013,2,36,43,27090,26460,0.7885,21.0634,17.6368,0.3042
test1188,2,34,45,25245,24684,0.7445,17.3607,16.342,0.275
test0431,2,25,84,25200,24900,1.9593,11.4636,11.3557,0.4027
test0218,2,12,50,3300,3234,0.068,0.8632,1.3399,0.0249
test0138,2,11,98,5390,5335,0.316,1.1447,1.2059,0.0713
test0580,2,25,79,23700,23400,1.4803,9.5531,15.1047,0.4149
test0710,2,18,63,9639,9486,0.2015,2.4764,1.932,0.2408
test0367,2,24,86,23736,23460,1.001,7.1527,10.4261,0.2427
test1247,2,30,47,20445,20010,0.6665,12.9887,15.1479,0.0957
test0756,2,27,48,16848,16497,0.7413,8.7833,11.6127,0.5189
test1196,2,32,40,19840,19344,0.5145,10.0684,11.2953,0.1049
test0872,2,35,47,27965,27370,1.2238,17.4503,24.431,0.35
test0168,2,19,60,10260,10089,0.2888,3.3688,3.0088,0.0757
test1420,2,30,51,22185,21750,0.9382,13.5444,14.6972,0.2914
test0757,2,13,65,5070,4992,0.092,0.6386,0.984,0.0497
test0505,2,10,82,3690,3645,0.1407,0.5057,0.6121,0.0236
test0001,2,37,42,27972,27306,1.1533,24.2003,23.7274,0.5578
test0116,2,19,45,7695,7524,0.1576,2.6701,2.5549,0.0578
test1059,2,33,43,22704,22176,0.5911,16.5103,12.0012,0.2509
test1364,2,30,64,27840,27405,2.9136,16.7817,16.7977,0.6963
test0499,2,25,61,18300,18000,1.0545,8.9626,5.9376,0.2467
test0669,2,15,45,4725,4620,0.0616,0.6523,0.6773,0.0466
test0722,2,37,41,27306,26640,0.777,20.6001,24.8672,0.311
test0703,2,23,70,17710,17457,0.8389,8.0548,7.4787,0.1111
test0426,2,29,69,28014,27608,1.1646,15.1533,19.6331,0.1182
test0522,2,18,53,8109,7956,0.1761,1.7321,1.8552,0.2955
test1034,2,31,45,20925,20460,0.7636,9.2277,10.2705,0.1053
test1463,2,32,58,28768,28272,1.1383,13.8964,15.5933,0.3454
test0564,2,31,50,23250,22785,0.7849,10.6081,11.6961,0.2656
