File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
rollernet2276,2,62,5,7169,5057,0.0272,3.1025,2.9516,0.0284
rollernet2857,2,62,4,6057,4101,0.0212,2.4077,2.6034,0.019
rollernet2349,2,62,5,6994,4896,0.0258,2.8216,2.8494,0.0262
rollernet3562,2,62,3,4994,3087,0.0115,1.5337,1.5102,0.1709
rollernet2077,2,62,5,7350,5180,0.0281,2.9724,3.0012,0.017
rollernet2709,2,62,4,6147,4173,0.0212,2.6011,2.4637,0.018
rollernet1416,2,62,8,9557,6896,0.0508,3.9502,3.9492,0.1768
rollernet2903,2,62,4,6032,4083,0.0214,2.4143,2.5553,0.0169
rollernet1290,2,62,8,10033,7116,0.0575,3.9296,4.0378,0.032
rollernet2479,2,62,5,6450,4397,0.0239,2.5363,2.5646,0.0198
rollernet1074,2,62,10,11299,7932,0.067,4.2976,3.8223,0.2338
rollernet1965,2,62,6,7698,5500,0.0347,3.2805,3.2981,0.1722
rollernet2862,2,62,4,6052,4098,0.0216,2.4265,2.577,0.0191
rollernet3257,2,62,4,5328,3401,0.0178,1.9026,1.8763,0.0131
rollernet3290,2,62,4,5236,3315,0.0172,1.8472,1.8186,0.0112
rollernet2078,2,62,5,7345,5172,0.0275,3.1101,2.9576,0.0243
rollernet1239,2,62,9,10279,7255,0.0595,3.957,3.8389,0.154
rollernet1333,2,62,8,10019,7256,0.0568,4.2035,4.0808,0.024
rollernet3079,2,62,4,5790,3857,0.0219,2.1976,2.2067,0.2151
rollernet2328,2,62,5,7047,4944,0.026,2.8511,2.8816,0.0266
rollernet2295,2,62,5,7130,5020,0.0272,3.0432,2.9283,0.0216
rollernet1699,2,62,6,8431,6062,0.0404,3.574,3.6371,0.1841
rollernet2065,2,62,5,7363,5199,0.0283,2.9817,3.1524,0.0262
rollernet2144,2,62,5,7324,5178,0.0294,2.9743,107.5585,0.0242
rollernet2242,2,62,5,7244,5130,0.0264,3.1915,2.9131,0.0208
rollernet3150,2,62,4,5626,3699,0.021,2.123,2.3776,0.0264
rollernet1328,2,62,8,10043,7273,0.054,3.9105,4.1059,0.0311
rollernet3475,2,62,3,4990,3080,0.0114,1.5029,1.4791,0.0198
rollernet2473,2,62,5,6499,4442,0.0234,2.5311,2.7695,0.0162
rollernet1984,2,62,6,7564,5374,0.0344,3.2088,3.2707,0.0198
rollernet3158,2,62,4,5605,3676,0.0191,2.2988,2.1395,0.0182
rollernet1055,2,62,10,11355,7878,0.0714,4.3244,3.771,0.1844
rollernet2338,2,62,5,7025,4927,0.0284,2.9364,3.0685,0.0184
rollernet3279,2,62,4,5275,3354,0.0179,1.9073,1.904,0.0118
rollernet1690,2,62,6,8438,6065,0.0405,3.6253,3.6595,0.2273
rollernet3139,2,62,4,5666,3739,0.0192,2.1705,2.2604,0.0166
rollernet1726,2,62,6,8428,6077,0.04,3.6241,3.6619,0.0191
rollernet2182,2,62,5,7337,5211,0.0274,3.2022,3.0822,0.0254
rollernet1647,2,62,7,8666,6245,0.0415,3.6534,3.6913,0.2039
rollernet2599,2,62,4,6226,4230,0.0217,2.5415,2.6794,0.0165
rollernet3235,2,62,4,5374,3443,0.0181,1.9446,1.9002,0.0131
rollernet2121,2,62,5,7325,5171,0.0278,2.9851,3.1826,0.0272
rollernet1276,2,62,8,10088,7155,0.0563,3.9748,4.0558,0.0335
rollernet3554,2,62,3,4994,3087,0.0114,1.5362,1.5204,0.019
rollernet2706,2,62,4,6149,4174,0.2053,2.4942,2.4988,0.0266
rollernet3280,2,62,4,5272,3351,0.0171,1.8843,1.8709,0.019
rollernet3597,2,62,3,5000,3094,0.0115,1.5378,1.6548,0.0167
rollernet3178,2,62,4,5556,3623,0.0189,2.0606,2.0429,0.0162
rollernet3524,2,62,3,4994,3086,0.0118,1.5578,1.5354,0.0173
rollernet2570,2,62,4,6243,4228,0.0213,2.7099,2.5656,0.0207
rollernet1185,2,62,9,10826,7834,0.0651,4.3576,4.3114,0.157
rollernet1214,2,62,9,10583,7586,0.0633,4.1932,4.0948,0.1853
rollernet2156,2,62,5,7328,5189,0.0283,3.0422,3.072,0.195
rollernet3493,2,62,3,4988,3078,0.0119,1.5492,1.5127,0.011
rollernet2315,2,62,5,7086,4982,0.0266,3.085,2.9327,0.0214
rollernet2752,2,62,4,6135,4170,0.0216,2.5322,2.6256,0.0263
rollernet2662,2,62,4,6180,4203,0.0219,2.5326,2.5297,0.0257
rollernet1808,2,62,6,8307,5961,0.0387,3.5685,3.612,0.1887
rollernet2430,2,62,5,6690,4611,0.0249,2.7297,2.8132,0.0231
rollernet2549,2,62,4,6256,4239,0.0211,2.5397,2.5492,0.0181
rollernet2308,2,62,5,7096,4993,0.0264,2.9376,2.9488,0.1955
rollernet2067,2,62,5,7360,5195,0.0289,3.016,3.1534,0.027
rollernet1326,2,62,8,10039,7260,0.056,4.1248,4.283,0.0325
rollernet1697,2,62,6,8430,6058,0.0397,3.6294,3.6685,0.0219
rollernet3162,2,62,4,5599,3669,0.0184,2.305,2.0746,0.0161
rollernet2817,2,62,4,6078,4115,0.0215,2.4373,2.5952,0.0144
rollernet2801,2,62,4,6080,4118,0.0211,2.4522,2.4575,0.0139
rollernet1709,2,62,6,8436,6075,0.0404,3.6723,3.6793,0.1721
rollernet1867,2,62,6,8091,5768,0.0374,3.4141,3.6213,0.0209
rollernet2504,2,62,4,6271,4248,0.0224,2.5358,2.5477,0.0165
rollernet1189,2,62,9,10804,7813,0.0671,4.5477,4.2691,0.0297
rollernet1805,2,62,6,8313,5965,0.0396,3.7021,3.6545,0.0274
rollernet1020,2,62,10,11636,8213,0.0779,4.6454,4.0193,0.0302
rollernet1371,2,62,8,9890,7185,0.0591,4.3044,4.1339,0.0331
rollernet2660,2,62,4,6185,4209,0.0216,2.7429,2.5377,0.0181
rollernet1309,2,62,8,10026,7170,0.0771,4.9513,5.3012,0.2885
rollernet2170,2,62,5,7330,5194,0.0286,3.2092,3.2039,0.0193
rollernet3488,2,62,3,4988,3078,0.0117,1.5465,1.5158,0.0109
rollernet2225,2,62,5,7283,5169,0.0266,3.0271,3.0766,0.2002
rollernet2740,2,62,4,6141,4175,0.0212,2.5095,2.5144,0.0251
rollernet1129,2,62,9,11010,7901,0.0679,4.4935,4.2523,0.0338
rollernet2506,2,62,4,6269,4246,0.0215,2.5219,2.511,0.0177
rollernet1066,2,62,10,11310,7867,0.068,4.2036,3.7251,0.2414
rollernet2613,2,62,4,6214,4226,0.0214,2.519,2.5213,0.1524
rollernet3282,2,62,4,5267,3346,0.0174,1.8678,1.8336,0.0215
rollernet2301,2,62,5,7103,4997,0.026,2.9009,2.9165,0.1899
rollernet1670,2,62,6,8456,6086,0.1489,3.6413,3.6703,0.0286
rollernet2324,2,62,5,7068,4966,0.0262,2.8749,2.8874,0.0235
rollernet3341,2,62,3,4980,3071,0.0112,1.6803,1.4881,0.0122
rollernet2541,2,62,4,6253,4231,0.0216,2.4844,2.4916,0.0179
rollernet1338,2,62,8,9991,7232,0.0571,4.2293,4.0619,0.0246
rollernet2994,2,62,4,5929,3979,0.0205,2.4204,2.3116,0.0195
rollernet2483,2,62,5,6395,4342,0.0233,2.4852,2.6964,0.0228
rollernet1702,2,62,6,8433,6067,0.042,3.5844,3.6386,0.0316
rollernet2655,2,62,4,6188,4211,0.0212,2.6276,2.5129,0.0173
rollernet2642,2,62,4,6193,4209,0.0212,2.4872,2.6794,0.0245
rollernet2694,2,62,4,6152,4176,0.0214,2.4715,2.4933,0.0151
rollernet1812,2,62,6,8308,5969,0.0379,3.5485,3.6007,0.1784
rollernet1380,2,62,8,9794,7094,0.0548,4.0423,4.0439,0.161
rollernet3355,2,62,3,4979,3071,0.0119,1.5134,1.5089,0.0193
rollernet1873,2,62,6,8080,5767,0.0358,3.5417,3.4022,0.0244
rollernet2172,2,62,5,7331,5193,0.0298,3.0172,3.0608,0.1483
rollernet1294,2,62,8,10015,7102,0.1873,3.9388,3.8589,0.0271
rollernet1985,2,62,6,7547,5357,0.035,3.192,3.3813,0.0219
rollernet3384,2,62,3,4984,3077,0.0116,1.5345,1.5053,0.0134
rollernet2438,2,62,5,6653,4575,0.0239,2.6236,2.8035,0.0217
rollernet1434,2,62,7,9408,6801,0.0483,3.8251,3.9544,0.0275
rollernet3119,2,62,4,5710,3779,0.0198,2.1961,2.1511,0.018
rollernet2653,2,62,4,6191,4211,0.2008,2.4933,2.5131,0.0181
rollernet1714,2,62,6,8433,6073,0.0411,3.6068,3.7952,0.0263
rollernet1260,2,62,8,10094,7113,0.0565,3.8999,3.9785,0.0292
rollernet1863,2,62,6,8116,5793,0.0363,3.3809,3.4137,0.0277
rollernet1491,2,62,7,9306,6696,0.0474,3.9728,3.7956,0.0221
rollernet3533,2,62,3,4995,3087,0.0114,1.5277,1.5289,0.1878
rollernet2638,2,62,4,6196,4212,0.0215,2.4988,2.5233,0.0134
rollernet2704,2,62,4,6148,4173,0.0209,2.6044,2.4724,0.0165
rollernet3380,2,62,3,4983,3075,0.0117,1.5226,1.521,0.0118
rollernet2577,2,62,4,6240,4229,0.0234,2.6872,2.5531,0.0169
rollernet1793,2,62,6,8332,5982,0.1504,3.5246,3.5745,0.0288
rollernet1165,2,62,9,10895,7870,0.1976,4.3122,4.2367,0.0256
rollernet3403,2,62,3,4981,3074,0.0122,1.577,1.5104,0.0201
rollernet2536,2,62,4,6255,4233,0.0211,2.6568,2.5121,0.2563
rollernet1901,2,62,6,7980,5687,0.0357,3.3375,3.4539,0.0182
rollernet1536,2,62,7,9208,6657,0.0462,3.7824,3.9328,0.0216
rollernet1790,2,62,6,8342,5993,0.0393,3.5308,3.5858,0.0303
rollernet1415,2,62,8,9566,6904,0.0521,4.1467,3.989,0.0281
rollernet3288,2,62,4,5243,3322,0.0178,2.0504,1.8221,0.0134
rollernet1994,2,62,6,7442,5276,0.0329,3.1049,3.2874,0.0218
rollernet1031,2,62,10,11607,8198,0.074,4.3931,4.0851,0.0352
rollernet1939,2,62,6,7822,5590,0.0356,3.3168,3.5031,0.0215
rollernet2488,2,62,5,6340,4298,0.0224,2.4617,2.4578,0.0153
rollernet2798,2,62,4,6086,4126,0.0211,2.4206,2.6268,0.0207
rollernet2650,2,62,4,6192,4212,0.0212,2.4916,2.5012,0.0204
rollernet2973,2,62,4,5971,4024,0.0204,2.3368,2.3552,0.1726
rollernet1062,2,62,10,11319,7854,0.1741,4.1328,3.6607,0.0343
rollernet1902,2,62,6,7981,5691,0.0402,3.3446,3.5228,0.022
rollernet2167,2,62,5,7331,5196,0.0274,2.9979,3.0876,0.0227
rollernet3482,2,62,3,4987,3076,0.0112,1.6938,1.4858,0.0148
rollernet3243,2,62,4,5342,3413,0.0177,1.8994,1.8585,0.0158
rollernet1759,2,62,6,8403,6060,0.0397,3.7458,3.6612,0.0269
rollernet1739,2,62,6,8422,6071,0.0386,3.6101,3.6525,0.1594
rollernet2454,2,62,5,6593,4521,0.024,2.617,2.7542,0.0225
rollernet2040,2,62,5,7380,5218,0.0286,2.9995,3.0509,0.0256
rollernet1546,2,62,7,9175,6627,0.0466,3.9256,3.756,0.0232
