File,Gamma,V,T,E,V_living,G_Edges,BBR19,LS,LSAR,DEC
rollernet2184,2,62,5,7339,307,5213,61,61,61,61
rollernet2047,2,62,5,7376,307,5213,61,61,61,71
rollernet2453,2,62,5,6594,305,4523,60,61,61,72
rollernet2939,2,62,4,5998,245,4052,58,59,60,60
rollernet2914,2,62,4,6020,245,4070,58,60,61,59
rollernet1511,2,62,7,9252,430,6661,89,90,90,104
rollernet3129,2,62,4,5688,244,3759,56,59,60,58
rollernet3233,2,62,4,5377,244,3444,58,60,60,57
rollernet3164,2,62,4,5592,244,3662,56,59,60,58
rollernet2378,2,62,5,6921,306,4829,61,61,61,73
rollernet3392,2,62,3,4984,185,3077,31,30,31,31
rollernet1462,2,62,7,9410,427,6826,89,90,90,105
rollernet2439,2,62,5,6653,305,4575,61,61,61,71
rollernet2983,2,62,4,5953,245,4003,58,59,61,59
rollernet1451,2,62,7,9419,427,6817,89,90,90,108
rollernet3307,2,62,4,5134,239,3214,51,54,54,51
rollernet2178,2,62,5,7333,307,5202,61,61,60,61
rollernet3192,2,62,4,5526,244,3591,57,60,60,58
rollernet2051,2,62,5,7372,307,5210,61,60,61,70
rollernet1807,2,62,6,8313,369,5968,76,90,91,83
rollernet1144,2,62,9,10947,547,7860,114,119,120,132
rollernet3258,2,62,4,5329,243,3404,58,59,59,58
rollernet1710,2,62,6,8435,369,6074,84,91,91,91
rollernet1175,2,62,9,10874,546,7872,116,119,120,136
rollernet2946,2,62,4,5996,245,4052,58,60,61,59
rollernet2275,2,62,5,7170,307,5058,61,61,61,61
rollernet1334,2,62,8,10012,486,7249,104,116,119,125
rollernet3271,2,62,4,5285,243,3362,57,59,60,58
rollernet3358,2,62,3,4979,185,3071,31,30,31,31
rollernet1058,2,62,10,11346,608,7874,125,146,121,145
rollernet1875,2,62,6,8074,368,5769,81,90,90,86
rollernet1581,2,62,7,9034,428,6544,90,90,90,108
rollernet2907,2,62,4,6026,245,4077,58,60,61,59
rollernet1659,2,62,7,8505,416,6112,88,89,90,93
rollernet2248,2,62,5,7230,307,5117,61,61,61,61
rollernet1555,2,62,7,9133,429,6600,89,89,90,104
rollernet1114,2,62,9,11027,548,7863,115,118,119,121
rollernet2115,2,62,5,7330,307,5174,61,61,60,75
rollernet2933,2,62,4,6000,245,4052,58,60,61,59
rollernet1936,2,62,6,7842,367,5606,81,90,89,81
rollernet1181,2,62,9,10851,546,7861,115,118,120,137
rollernet3305,2,62,4,5154,240,3234,52,56,56,52
rollernet1952,2,62,6,7757,365,5537,80,89,88,79
rollernet1537,2,62,7,9207,429,6659,89,89,90,103
rollernet2136,2,62,5,7328,307,5179,61,61,61,61
rollernet1701,2,62,6,8435,369,6068,84,91,91,90
rollernet1116,2,62,9,11020,548,7860,115,118,119,123
rollernet3239,2,62,4,5356,244,3425,58,59,59,58
rollernet1131,2,62,9,11007,548,7905,117,118,118,135
rollernet2824,2,62,4,6076,246,4116,58,60,61,60
rollernet3140,2,62,4,5665,244,3738,56,60,60,59
rollernet2985,2,62,4,5950,245,4000,58,59,61,60
rollernet1736,2,62,6,8423,369,6069,77,90,90,91
rollernet2670,2,62,4,6165,246,4188,57,60,60,51
rollernet1195,2,62,9,10753,546,7759,117,118,121,131
rollernet1212,2,62,9,10611,546,7619,117,117,119,129
rollernet1868,2,62,6,8095,368,5777,80,90,90,83
rollernet1836,2,62,6,8232,369,5908,78,90,91,79
rollernet3516,2,62,3,4993,185,3085,31,30,31,31
rollernet3346,2,62,3,4980,185,3072,31,30,31,31
rollernet1321,2,62,8,10034,486,7234,104,117,119,126
rollernet2525,2,62,4,6261,247,4241,57,61,61,48
rollernet2532,2,62,4,6254,247,4234,57,61,61,48
rollernet1622,2,62,7,8770,427,6319,89,90,92,91
rollernet1390,2,62,8,9704,485,7014,103,115,117,110
rollernet2399,2,62,5,6864,306,4780,61,60,60,73
rollernet2083,2,62,5,7341,307,5171,61,61,61,70
rollernet1092,2,62,10,11296,607,8049,123,142,120,153
rollernet2427,2,62,5,6714,306,4636,61,61,61,68
rollernet1135,2,62,9,11004,548,7916,116,118,120,138
rollernet1270,2,62,8,10090,487,7141,106,118,119,124
rollernet1204,2,62,9,10694,546,7692,117,120,121,130
rollernet1561,2,62,7,9110,428,6578,89,89,90,101
rollernet1356,2,62,8,9925,486,7205,106,117,119,124
rollernet3242,2,62,4,5339,243,3408,58,59,59,58
rollernet2446,2,62,5,6641,305,4570,61,61,61,70
rollernet1582,2,62,7,9027,428,6537,90,90,90,104
rollernet2098,2,62,5,7338,307,5181,61,61,61,73
rollernet1421,2,62,8,9466,479,6819,99,109,108,107
rollernet3117,2,62,4,5712,244,3781,56,60,60,58
rollernet1818,2,62,6,8302,369,5970,74,89,91,84
rollernet3530,2,62,3,4995,185,3087,31,30,31,31
rollernet2046,2,62,5,7375,307,5211,61,61,61,71
rollernet3199,2,62,4,5514,244,3578,57,60,60,58
rollernet1535,2,62,7,9208,429,6655,89,90,90,104
rollernet3508,2,62,3,4993,185,3085,31,30,31,31
rollernet2050,2,62,5,7374,307,5213,61,61,61,70
rollernet2556,2,62,4,6255,247,4242,57,61,61,49
rollernet1825,2,62,6,8273,369,5943,74,90,91,82
rollernet1959,2,62,6,7728,365,5522,80,88,88,76
