File,Gamma,|V|,|T|,|E|,TimeLinkStream,G_edges,LS,varLS
gen_rollernet,2,62.0,60.243,22088.128,0.0,75.0334,5.3638,0.0
gen_enron,2,150.0,74.048,5092.933,0.0235,3.0556,0.1251,0.0
gen_B1,2,0.0,0.0,0.0,0.1163,65.6036,0.0955,0.0
gen_B2,2,0.0,0.0,0.0,0.0822,103.125,4.04443,0.0
