File,Gamma,|V|,|T|,|E|,G_edges,LS,varLS
gen_rollernet,2,62.0,60.243,22088.128,75.0334,5.3638,14044391.3371
gen_enron,2,150.0,74.048,5092.933,3.0556,0.1251,104033.3143
gen_B1,2,0.0,0.0,0.0,65.6036,0.0955,165503.261
