File,Gamma,dec,time_list_pos_m,decTotal,varDEC
gen_enron,101,0.0001,0.0003,0.0004,0.2303
gen_enron,102,0.0001,0.0003,0.0003,0.228
gen_enron,103,0.0001,0.0003,0.0003,0.2258
gen_enron,104,0.0001,0.0003,0.0003,0.2236
gen_enron,105,0.0001,0.0003,0.0003,0.2215
gen_enron,106,0.0001,0.0003,0.0003,0.2193
gen_enron,107,0.0001,0.0003,0.0003,0.2173
gen_enron,108,0.0001,0.0003,0.0003,0.2152
gen_enron,109,0.0001,0.0003,0.0003,0.2133
gen_enron,110,0.0001,0.0002,0.0003,0.2113
gen_enron,111,0.0001,0.0002,0.0003,0.2094
gen_enron,112,0.0001,0.0002,0.0003,0.2075
gen_enron,113,0.0001,0.0002,0.0003,0.2056
gen_enron,114,0.0001,0.0002,0.0003,0.2038
gen_enron,115,0.0001,0.0002,0.0003,0.202
gen_enron,116,0.0001,0.0002,0.0003,0.2003
gen_enron,117,0.0001,0.0002,0.0003,0.1985
gen_enron,118,0.0001,0.0002,0.0003,0.1969
gen_enron,119,0.0001,0.0002,0.0003,0.1952
gen_enron,120,0.0001,0.0002,0.0003,0.1935
gen_enron,121,0.0001,0.0002,0.0003,0.1919
gen_enron,122,0.0001,0.0002,0.0003,0.1903
gen_enron,123,0.0001,0.0002,0.0003,0.1888
gen_enron,124,0.0001,0.0002,0.0003,0.1872
gen_enron,125,0.0001,0.0002,0.0003,0.1857
gen_enron,126,0.0001,0.0002,0.0003,0.1843
gen_enron,127,0.0001,0.0002,0.0003,0.1828
gen_enron,128,0.0001,0.0002,0.0003,0.1814
gen_enron,129,0.0001,0.0002,0.0003,0.1799
gen_enron,130,0.0001,0.0002,0.0003,0.1785
gen_enron,131,0.0001,0.0002,0.0003,0.1772
gen_enron,132,0.0001,0.0002,0.0003,0.1758
gen_enron,133,0.0001,0.0002,0.0003,0.1745
gen_enron,134,0.0001,0.0002,0.0003,0.1732
gen_enron,135,0.0001,0.0002,0.0003,0.1719
gen_enron,136,0.0001,0.0002,0.0003,0.1706
gen_enron,137,0.0001,0.0002,0.0003,0.1694
gen_enron,138,0.0001,0.0002,0.0003,0.1681
gen_enron,139,0.0001,0.0002,0.0003,0.1669
gen_enron,140,0.0001,0.0002,0.0003,0.1657
gen_enron,141,0.0001,0.0002,0.0003,0.1645
gen_enron,142,0.0001,0.0002,0.0002,0.1633
gen_enron,143,0.0001,0.0002,0.0002,0.1622
gen_enron,144,0.0001,0.0002,0.0002,0.1611
gen_enron,145,0.0001,0.0002,0.0002,0.1599
gen_enron,146,0.0001,0.0002,0.0002,0.1588
gen_enron,147,0.0001,0.0002,0.0002,0.1578
gen_enron,148,0.0001,0.0002,0.0002,0.1567
gen_enron,149,0.0001,0.0002,0.0002,0.1556
gen_enron,150,0.0001,0.0002,0.0002,0.1546
gen_enron,151,0.0001,0.0002,0.0002,0.1535
