File,Gamma,DEC,varDEC
gen_enron,268,6.9568,0.0852
gen_enron,269,6.9308,0.0849
gen_enron,270,6.9051,0.0846
gen_enron,271,6.8795,0.0843
gen_enron,272,6.8541,0.084
gen_enron,273,6.8289,0.0837
gen_enron,274,6.8039,0.0834
gen_enron,275,6.7791,0.0831
gen_enron,276,6.7544,0.0828
gen_enron,277,6.7299,0.0825
gen_enron,278,6.7056,0.0822
gen_enron,279,6.6815,0.0819
gen_enron,280,6.6576,0.0816
gen_enron,281,6.6338,0.0813
gen_enron,282,6.6102,0.081
gen_enron,283,6.5868,0.0807
gen_enron,284,6.5635,0.0804
gen_enron,285,6.5404,0.0802
gen_enron,286,6.5174,0.0799
gen_enron,287,6.4946,0.0796
gen_enron,288,6.472,0.0793
gen_enron,289,6.4495,0.0791
gen_enron,290,6.4272,0.0788
gen_enron,291,6.405,0.0785
gen_enron,292,6.383,0.0783
gen_enron,293,6.3612,0.078
gen_enron,294,6.3395,0.0777
gen_enron,295,6.3179,0.0775
gen_enron,296,6.2965,0.0772
gen_enron,297,6.2752,0.077
gen_enron,298,6.2541,0.0767
gen_enron,299,6.2331,0.0764
gen_enron,300,6.2123,0.0762
gen_enron,301,6.1915,0.0759
gen_enron,302,6.171,0.0757
gen_enron,303,6.1505,0.0754
gen_enron,304,6.1302,0.0752
gen_enron,305,6.1101,0.0749
gen_enron,306,6.09,0.0747
gen_enron,307,6.0701,0.0745
gen_enron,308,6.0504,0.0742
gen_enron,309,6.0307,0.074
gen_enron,310,6.0112,0.0737
gen_enron,311,5.9918,0.0735
gen_enron,312,5.9726,0.0733
gen_enron,313,5.9534,0.073
gen_enron,314,5.9344,0.0728
gen_enron,315,5.9155,0.0726
gen_enron,316,5.8967,0.0724
gen_enron,317,5.878,0.0721
gen_enron,318,5.8595,0.0719
gen_enron,319,5.8411,0.0717
gen_enron,320,5.8228,0.0715
gen_enron,321,5.8046,0.0712
gen_enron,322,5.7865,0.071
gen_enron,323,5.7685,0.0708
gen_enron,324,5.7507,0.0706
gen_enron,325,5.7329,0.0704
gen_enron,326,5.7153,0.0702
gen_enron,327,5.6977,0.0699
gen_enron,328,5.6803,0.0697
gen_enron,329,5.663,0.0695
gen_enron,330,5.6458,0.0693
gen_enron,331,5.6287,0.0691
gen_enron,332,5.6117,0.0689
gen_enron,333,5.5948,0.0687
gen_enron,334,5.578,0.0685
gen_enron,335,5.5613,0.0683
gen_enron,336,5.5447,0.0681
gen_enron,337,5.5282,0.0679
gen_enron,338,5.5118,0.0677
gen_enron,339,5.4955,0.0675
gen_enron,340,5.4792,0.0673
gen_enron,341,5.4631,0.0671
gen_enron,342,5.4471,0.0669
gen_enron,343,5.4312,0.0667
gen_enron,344,5.4153,0.0665
gen_enron,345,5.3996,0.0663
gen_enron,346,5.384,0.0661
gen_enron,347,5.3684,0.0659
gen_enron,348,5.3529,0.0657
gen_enron,349,5.3375,0.0656
gen_enron,350,5.3222,0.0654
gen_enron,351,5.307,0.0652
gen_enron,352,5.2919,0.065
gen_enron,353,5.2769,0.0648
gen_enron,354,5.2619,0.0646
gen_enron,355,5.2471,0.0645
gen_enron,356,5.2323,0.0643
gen_enron,357,5.2176,0.0641
gen_enron,358,5.203,0.0639
gen_enron,359,5.1884,0.0637
gen_enron,360,5.174,0.0636
gen_enron,361,5.1596,0.0634
gen_enron,362,5.1453,0.0632
gen_enron,363,5.1311,0.063
gen_enron,364,5.117,0.0629
gen_enron,365,5.1029,0.0627
gen_enron,366,5.0889,0.0625
gen_enron,367,5.075,0.0624
gen_enron,368,5.0612,0.0622
gen_enron,369,5.0475,0.062
gen_enron,370,5.0338,0.0619
gen_enron,371,5.0202,0.0617
gen_enron,372,5.0066,0.0615
gen_enron,373,4.9932,0.0614
gen_enron,374,4.9798,0.0612
gen_enron,375,4.9665,0.061
gen_enron,376,4.9532,0.0609
gen_enron,377,4.9401,0.0607
gen_enron,378,4.927,0.0606
gen_enron,379,4.9139,0.0604
gen_enron,380,4.901,0.0602
gen_enron,381,4.8881,0.0601
gen_enron,382,4.8752,0.0599
gen_enron,383,4.8625,0.0598
gen_enron,384,4.8498,0.0596
gen_enron,385,4.8371,0.0595
gen_enron,386,4.8246,0.0593
gen_enron,387,4.8121,0.0592
gen_enron,388,4.7996,0.059
gen_enron,389,4.7873,0.0589
gen_enron,390,4.775,0.0587
gen_enron,391,4.7627,0.0586
gen_enron,392,4.7505,0.0584
gen_enron,393,4.7384,0.0583
gen_enron,394,4.7264,0.0581
gen_enron,395,4.7144,0.058
gen_enron,396,4.7024,0.0578
gen_enron,397,4.6906,0.0577
gen_enron,398,4.6787,0.0575
gen_enron,399,4.667,0.0574
