File,|V|,|T|,|E|,G_edges,BBR19,LS,DecFF,DP
rollernet,62.0,51.0,21165.17,3.0,53.67,4.1485,0,0.0
gen_B1,47.89,41.11,14171.33,5.0,35.78,2.7659,0,0.0
enron,211.57,5500.29,31136.86,9.43,46.0,3.5896,0,0.0
