File,Gamma,V,T,E,V_living,G_Edges,BBR19,LS,LSAR,DEC
enron2020000,2,150,49,6095,3021,3132,388,416,412,466
enron2430000,2,150,41,5680,2647,2935,348,376,377,427
enron130000,2,150,756,14953,15253,4248,1305,1361,1362,1469
enron1310000,2,150,76,7379,4245,3756,525,569,556,644
enron7360000,2,150,14,3486,1103,1612,150,167,165,173
enron9450000,2,150,11,3207,932,1447,129,139,140,145
enron4080000,2,150,25,4565,1780,2320,238,262,264,282
enron5190000,2,150,19,4084,1462,2014,207,221,218,241
enron2210000,2,150,45,5919,2871,3075,368,404,401,449
enron9130000,2,150,11,3174,915,1405,129,137,136,140
enron4260000,2,150,24,4458,1710,2240,235,243,244,284
enron4580000,2,150,22,4248,1592,2096,211,231,225,247
enron5420000,2,150,19,3998,1401,1995,197,212,212,228
enron6180000,2,150,16,3839,1290,1881,181,191,188,207
enron2500000,2,150,40,5644,2597,2940,334,373,366,403
enron3740000,2,150,27,4706,1898,2392,251,278,274,296
enron3160000,2,150,32,5088,2177,2635,288,319,305,350
enron8640000,2,150,12,3351,990,1582,145,154,152,158
enron1390000,2,150,71,7194,4053,3639,497,540,527,592
enron7980000,2,150,13,3408,1023,1595,142,158,152,176
enron5650000,2,150,18,3909,1369,1886,184,203,197,227
enron9460000,2,150,11,3210,931,1450,132,140,141,151
enron2150000,2,150,46,6029,2931,3153,384,400,394,444
enron6990000,2,150,15,3615,1152,1741,169,176,180,187
enron8590000,2,150,12,3364,988,1585,147,150,153,162
enron3100000,2,150,32,5068,2175,2591,292,313,316,352
enron560000,2,150,176,10229,7601,4821,844,885,875,1011
enron3350000,2,150,30,4944,2054,2542,273,296,295,336
enron1860000,2,150,53,6347,3249,3247,414,448,441,479
enron5860000,2,150,17,3904,1316,1953,189,199,204,215
enron2310000,2,150,43,5745,2723,2924,365,381,387,421
enron8350000,2,150,12,3369,999,1561,141,151,155,160
enron5380000,2,150,19,4080,1441,2060,196,212,213,233
enron5530000,2,150,18,3968,1377,1962,192,204,203,219
enron9560000,2,150,11,3226,928,1478,132,141,141,146
enron5640000,2,150,18,3925,1370,1899,185,202,198,219
enron8000000,2,150,13,3401,1021,1595,140,157,155,172
enron5350000,2,150,19,4087,1441,2046,196,214,212,236
enron6580000,2,150,15,3695,1216,1776,167,185,179,203
enron9810000,2,150,11,3140,864,1410,129,134,131,156
enron4610000,2,150,22,4232,1575,2076,213,232,232,242
enron8160000,2,150,13,3380,1013,1584,145,156,162,164
enron8520000,2,150,12,3352,995,1565,143,156,157,166
enron980000,2,150,101,8272,5214,4126,632,667,660,757
enron9660000,2,150,11,3158,887,1423,127,135,131,145
enron3830000,2,150,26,4687,1846,2407,247,270,275,298
enron8330000,2,150,12,3359,998,1546,140,153,155,158
enron520000,2,150,189,10458,7947,4816,879,925,911,1061
enron7190000,2,150,14,3606,1158,1742,161,178,174,187
enron1680000,2,150,59,6596,3494,3364,439,469,466,519
enron9990000,2,150,10,3150,853,1425,124,134,133,141
enron8400000,2,150,12,3366,999,1567,143,156,155,169
enron3960000,2,150,25,4567,1778,2325,236,266,258,292
enron230000,2,150,428,13246,12199,4592,1171,1221,1209,1354
enron2390000,2,150,42,5731,2705,2954,356,371,372,414
enron8910000,2,150,12,3248,929,1491,127,142,144,153
enron4900000,2,150,21,4168,1509,2074,201,219,224,245
enron8940000,2,150,11,3231,922,1469,127,142,142,157
enron2980000,2,150,33,5182,2286,2642,300,331,327,369
enron2030000,2,150,49,6106,3027,3142,401,411,413,463
enron3650000,2,150,27,4744,1922,2422,255,284,284,313
enron6680000,2,150,15,3657,1189,1759,162,179,177,200
enron6240000,2,150,16,3734,1235,1783,170,183,180,193
enron7220000,2,150,14,3627,1151,1769,153,175,169,187
enron6430000,2,150,16,3745,1230,1830,174,186,179,200
enron6250000,2,150,16,3732,1234,1781,171,184,180,200
enron6260000,2,150,16,3726,1234,1782,170,187,178,197
enron360000,2,150,273,11783,9805,4897,1017,1058,1054,1206
enron7900000,2,150,13,3416,1038,1597,143,156,157,176
enron5570000,2,150,18,3989,1374,1985,199,209,210,223
enron3360000,2,150,30,4870,2034,2428,266,292,291,323
enron50000,2,150,1966,17406,20651,3228,1307,1343,1345,1426
enron5890000,2,150,17,3882,1315,1936,187,201,203,213
enron5230000,2,150,19,4059,1450,1990,201,212,210,239
enron9840000,2,150,10,3128,851,1400,122,133,129,148
enron7670000,2,150,13,3456,1058,1622,151,168,166,172
enron4360000,2,150,23,4381,1658,2215,231,248,251,272
enron2660000,2,150,37,5447,2470,2808,328,352,354,400
enron110000,2,150,894,15398,16158,4273,1372,1429,1428,1506
enron4550000,2,150,22,4316,1633,2155,216,236,238,267
enron7460000,2,150,14,3465,1084,1602,149,169,167,175
enron1610000,2,150,62,6730,3618,3433,458,490,494,547
enron8630000,2,150,12,3346,987,1577,145,152,150,170
enron1290000,2,150,77,7454,4293,3814,533,558,552,638
enron1520000,2,150,65,6924,3820,3491,470,509,503,564
enron5580000,2,150,18,3976,1372,1969,194,208,205,222
enron6720000,2,150,15,3634,1174,1737,165,178,180,181
enron6710000,2,150,15,3631,1176,1732,166,179,179,186
enron9570000,2,150,11,3213,928,1471,134,142,140,154
enron4520000,2,150,22,4355,1635,2178,219,239,238,262
enron1930000,2,150,51,6210,3152,3134,414,431,423,483
enron5660000,2,150,18,3938,1366,1922,186,205,200,226
enron9860000,2,150,10,3149,852,1426,123,129,131,149
enron8530000,2,150,12,3356,994,1570,143,156,156,167
enron6880000,2,150,15,3626,1159,1751,166,180,179,194
enron1100000,2,150,90,7853,4776,3917,589,615,616,675
enron5950000,2,150,17,3883,1306,1933,187,202,199,215
enron510000,2,150,193,10536,8022,4867,890,933,929,1051
enron1690000,2,150,59,6593,3511,3356,452,473,466,538
enron1830000,2,150,54,6412,3305,3320,430,449,448,499
enron9230000,2,150,11,3171,918,1393,127,136,136,151
enron7640000,2,150,13,3462,1061,1624,153,168,164,174
enron1500000,2,150,66,6893,3807,3455,487,515,510,571
enron5390000,2,150,19,4064,1438,2045,200,216,218,238
enron550000,2,150,179,10277,7657,4790,858,903,895,1030
enron5590000,2,150,18,3966,1368,1946,196,208,208,224
enron7240000,2,150,14,3552,1121,1689,151,174,168,177
enron2100000,2,150,47,6043,2964,3112,391,408,408,448
enron6970000,2,150,15,3610,1158,1729,166,176,175,186
enron1410000,2,150,70,7170,4032,3672,501,541,539,612
enron7370000,2,150,14,3473,1100,1604,150,166,167,175
enron3500000,2,150,29,4799,1978,2427,261,283,284,320
enron3690000,2,150,27,4714,1914,2383,244,279,278,298
enron4320000,2,150,23,4432,1704,2256,235,250,251,271
enron1770000,2,150,56,6484,3376,3355,450,463,454,526
enron9110000,2,150,11,3177,915,1414,130,138,138,147
enron9890000,2,150,10,3160,853,1436,125,129,130,146
enron3180000,2,150,31,5097,2166,2640,284,313,309,333
enron9750000,2,150,11,3136,867,1405,128,133,135,156
enron9430000,2,150,11,3201,933,1434,129,140,137,146
enron5430000,2,150,19,3996,1398,1994,196,214,213,224
enron730000,2,150,135,9272,6358,4508,754,785,778,893
enron2910000,2,150,34,5264,2294,2732,307,331,337,379
enron4220000,2,150,24,4471,1703,2264,235,254,252,275
enron1760000,2,150,56,6547,3403,3389,440,468,454,509
enron8410000,2,150,12,3358,999,1555,144,152,153,164
enron1880000,2,150,53,6303,3258,3219,418,451,440,491
enron4180000,2,150,24,4494,1711,2291,229,255,249,290
enron410000,2,150,240,11275,9114,4847,960,1006,999,1154
enron3440000,2,150,29,4907,2032,2520,273,297,295,321
enron5910000,2,150,17,3876,1309,1933,186,203,199,210
enron7080000,2,150,14,3655,1155,1807,167,177,177,190
enron870000,2,150,113,8663,5689,4267,688,715,716,821
enron7110000,2,150,14,3643,1153,1787,166,179,178,183
enron120000,2,150,819,15148,15740,4236,1343,1407,1403,1468
enron6790000,2,150,15,3635,1167,1747,161,178,178,188
enron420000,2,150,234,11271,9065,4958,976,1026,1010,1152
enron2860000,2,150,35,5239,2332,2647,309,332,324,363
enron9780000,2,150,11,3136,864,1407,128,134,132,151
enron2630000,2,150,38,5435,2486,2762,324,349,340,400
enron9060000,2,150,11,3181,918,1422,133,135,141,148
enron9140000,2,150,11,3172,915,1404,129,134,136,142
enron3760000,2,150,27,4718,1895,2429,254,274,272,298
enron1810000,2,150,55,6414,3301,3309,436,460,450,521
enron5900000,2,150,17,3874,1313,1932,189,205,203,218
enron280000,2,150,351,12536,11124,4592,1051,1111,1097,1250
enron5770000,2,150,18,3906,1348,1912,186,201,200,226
enron5040000,2,150,20,4168,1505,2084,201,226,226,235
enron3310000,2,150,30,5010,2098,2616,283,306,308,332
enron2080000,2,150,48,6021,2986,3058,394,413,407,463
