File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
enron9940000,2,150,10,3144,1414,0.0196,0.3431,0.2143,0.0128
enron5940000,2,150,17,3885,1940,0.0363,0.4489,0.2698,0.0177
enron9510000,2,150,11,3222,1469,0.0215,0.351,0.2183,0.0164
enron9980000,2,150,10,3153,1424,0.0191,0.3297,0.2154,0.0153
enron4490000,2,150,22,4375,2208,0.047,0.5033,0.3458,0.0477
enron8510000,2,150,12,3353,1566,0.0245,0.3632,0.2317,0.0168
enron9040000,2,150,11,3187,1429,0.0199,0.331,0.2061,0.0164
enron1700000,2,150,58,6583,3374,0.1477,0.8458,0.3213,0.0584
enron7530000,2,150,14,3459,1601,0.0251,0.4219,0.2157,0.0422
enron1450000,2,150,68,7027,3588,0.1685,0.94,0.3309,0.0332
enron9920000,2,150,10,3162,1442,0.0204,0.3447,0.2185,0.0162
enron2610000,2,150,38,5536,2872,0.0883,0.7132,0.314,0.053
enron5620000,2,150,18,3943,1927,0.0361,0.4367,0.2526,0.0453
enron4050000,2,150,25,4584,2339,0.056,0.5304,0.2915,0.023
enron6830000,2,150,15,3641,1757,0.0292,0.3971,0.242,0.0699
enron620000,2,150,159,9870,4748,0.3586,1.7087,0.3928,0.074
enron9830000,2,150,10,3136,1407,0.0193,0.3644,0.2079,0.015
enron7660000,2,150,13,3456,1626,0.0282,0.3844,0.237,0.0149
enron5730000,2,150,18,3938,1940,0.0375,0.4458,0.2616,0.0461
enron750000,2,150,132,9177,4471,0.2965,1.4708,0.3548,0.1311
enron4440000,2,150,23,4417,2280,0.049,0.5194,0.301,0.0472
enron5540000,2,150,18,3981,1987,0.0373,0.4566,0.2689,0.0446
enron1490000,2,150,66,6976,3574,0.154,0.9689,0.3284,0.0586
enron250000,2,150,394,12914,4561,0.5029,3.5312,0.4011,0.1226
enron7910000,2,150,13,3415,1593,0.0246,0.3772,0.231,0.0169
enron4940000,2,150,20,4217,2133,0.0426,0.4836,0.2836,0.0212
enron6130000,2,150,17,3865,1895,0.0331,0.5001,0.2562,0.0449
enron1540000,2,150,64,6866,3526,0.1529,0.9054,0.3301,0.0594
enron3450000,2,150,29,4917,2545,0.1128,0.6093,0.309,0.0211
enron3630000,2,150,28,4780,2456,0.0612,0.5671,0.3016,0.05
enron3980000,2,150,25,4564,2327,0.0549,0.5319,0.2807,0.0477
enron6450000,2,150,16,3742,1832,0.0339,0.429,0.3171,0.0446
enron9170000,2,150,11,3173,1402,0.0195,0.3401,0.2024,0.0151
enron8730000,2,150,12,3265,1506,0.0246,0.3521,0.2141,0.0133
enron9770000,2,150,11,3136,1406,0.0207,0.3431,0.2089,0.0127
enron500000,2,150,197,10600,4843,0.4005,2.0106,0.3839,0.1351
enron8560000,2,150,12,3354,1572,0.0235,0.3772,0.2348,0.0403
enron8780000,2,150,12,3291,1528,0.0223,0.3583,0.2283,0.0132
enron6200000,2,150,16,3735,1779,0.032,0.4122,0.2319,0.0414
enron9180000,2,150,11,3169,1396,0.0206,0.3868,0.1969,0.0383
enron4200000,2,150,24,4479,2256,0.0518,0.5338,0.2908,0.0219
enron2110000,2,150,47,6051,3149,0.1129,0.7529,0.3269,0.0549
enron1940000,2,150,51,6145,3104,0.1209,0.8208,0.3032,0.0298
enron5030000,2,150,20,4215,2157,0.0456,0.4943,0.295,0.0439
enron970000,2,150,102,8256,4081,0.2441,1.2432,0.3383,0.0926
enron2340000,2,150,42,5777,3008,0.1017,0.7174,0.3198,0.0547
enron5240000,2,150,19,4068,1995,0.0387,0.4613,0.3058,0.0451
enron3470000,2,150,29,4840,2465,0.0621,0.5921,0.3006,0.0501
enron3330000,2,150,30,5022,2627,0.0734,0.6093,0.3178,0.0245
enron8200000,2,150,12,3361,1556,0.0229,0.3625,0.2246,0.0169
enron4660000,2,150,22,4298,2167,0.0436,0.566,0.294,0.0442
enron4700000,2,150,21,4297,2188,0.0459,0.5114,0.2935,0.0244
enron1740000,2,150,57,6480,3316,0.1308,0.8295,0.3641,0.0571
enron1840000,2,150,54,6393,3269,0.1253,0.8098,0.3133,0.0553
enron2930000,2,150,34,5284,2752,0.0786,0.6297,0.3192,0.0532
enron9880000,2,150,10,3157,1436,0.0197,0.3382,0.2721,0.0127
enron7210000,2,150,14,3626,1768,0.0298,0.4218,0.2554,0.041
enron6010000,2,150,17,3841,1866,0.0346,0.4354,0.2455,0.045
enron8580000,2,150,12,3364,1584,0.0237,0.3853,0.2314,0.0401
enron9280000,2,150,11,3182,1407,0.0208,0.3444,0.2058,0.0119
enron2790000,2,150,36,5408,2838,0.0845,0.6532,0.3203,0.0874
enron5510000,2,150,18,3967,1963,0.0383,0.4474,0.2632,0.0465
enron3000000,2,150,33,5107,2586,0.0711,0.6016,0.2851,0.0513
enron6270000,2,150,16,3738,1809,0.0812,0.4131,0.2421,0.0425
enron1400000,2,150,71,7129,3628,0.171,0.9588,0.3364,0.0591
enron9440000,2,150,11,3205,1441,0.021,0.3464,0.2107,0.0124
enron3230000,2,150,31,4974,2515,0.0691,0.5761,0.2917,0.0723
enron3190000,2,150,31,5096,2634,0.0702,0.6122,0.3114,0.0508
enron6060000,2,150,17,3852,1887,0.0337,0.4344,0.2589,0.0423
enron3340000,2,150,30,4984,2587,0.1174,0.605,0.3097,0.0488
enron9720000,2,150,11,3148,1416,0.0225,0.3403,0.2071,0.0126
enron6230000,2,150,16,3732,1779,0.0315,0.4085,0.2374,0.0448
enron5960000,2,150,17,3866,1905,0.0357,0.4401,0.2635,0.0161
enron3530000,2,150,28,4839,2485,0.1168,0.5653,0.2873,0.0204
enron700000,2,150,141,9410,4550,0.3259,1.5601,0.3739,0.0718
enron1040000,2,150,95,8065,4024,0.2271,1.2154,0.3409,0.0653
enron7260000,2,150,14,3549,1689,0.027,0.4044,0.2449,0.0412
enron860000,2,150,115,8701,4292,0.274,1.3949,0.3498,0.0685
enron2280000,2,150,44,5874,3058,0.1053,0.7297,0.3222,0.0547
enron4820000,2,150,21,4172,2066,0.0429,0.5172,0.2623,0.0469
enron5550000,2,150,18,3987,1983,0.0371,0.4563,0.2632,0.0462
enron7130000,2,150,14,3630,1771,0.029,0.4153,0.254,0.0437
enron2420000,2,150,41,5683,2943,0.1511,0.7009,0.3195,0.0539
enron4920000,2,150,20,4159,2069,0.041,0.4685,0.2682,0.021
enron8820000,2,150,12,3292,1537,0.0246,0.3629,0.2283,0.0135
enron1210000,2,150,82,7610,3837,0.2422,1.067,0.3366,0.0607
