File,Gamma,V,T,E,G_Edges,BBR19,LS,LSAR,DEC
enron7940000,2,150,13,3401,1588,0.0167,0.2603,0.1586,0.0089
enron7500000,2,150,14,3457,1589,0.0187,0.2609,0.1505,0.0093
enron5210000,2,150,19,4062,1982,0.027,0.3191,0.2017,0.0142
enron7890000,2,150,13,3419,1600,0.017,0.2629,0.164,0.0091
enron9620000,2,150,11,3224,1486,0.0149,0.2526,0.1565,0.0083
enron460000,2,150,214,10964,4961,0.3179,1.4862,0.275,0.0363
enron6510000,2,150,16,3707,1795,0.0222,0.2906,0.1738,0.0116
enron5110000,2,150,20,4043,1974,0.0274,0.319,0.1773,0.0112
enron3890000,2,150,26,4605,2304,0.0703,0.3747,0.1892,0.0135
enron3250000,2,150,31,4939,2480,0.0466,0.3986,0.1925,0.0168
enron6910000,2,150,15,3649,1771,0.021,0.2872,0.1728,0.0099
enron3900000,2,150,26,4607,2291,0.0375,0.3714,0.1892,0.0152
enron4170000,2,150,24,4481,2261,0.0356,0.3981,0.1976,0.0159
enron7870000,2,150,13,3461,1642,0.018,0.2843,0.1684,0.0125
enron1710000,2,150,58,6613,3419,0.0974,0.5933,0.2448,0.0211
enron9680000,2,150,11,3150,1416,0.0164,0.2554,0.1432,0.008
enron7810000,2,150,13,3501,1680,0.0187,0.2803,0.1842,0.0108
enron3430000,2,150,29,4921,2527,0.0454,0.4123,0.2115,0.0157
enron7710000,2,150,13,3463,1630,0.0182,0.2728,0.1682,0.0115
enron6820000,2,150,15,3637,1747,0.0209,0.277,0.1679,0.0325
enron3640000,2,150,27,4750,2426,0.0413,0.3899,0.2069,0.0158
enron530000,2,150,186,10466,4871,0.3078,1.3593,0.2766,0.0355
enron4250000,2,150,24,4478,2262,0.0359,0.3699,0.201,0.0159
enron6520000,2,150,16,3697,1782,0.0217,0.2848,0.1711,0.0134
enron2900000,2,150,34,5263,2737,0.057,0.4383,0.2113,0.0353
enron8170000,2,150,13,3385,1588,0.0182,0.2603,0.1609,0.009
enron8620000,2,150,12,3343,1573,0.018,0.266,0.162,0.0088
enron9910000,2,150,10,3171,1451,0.0158,0.2404,0.1535,0.008
enron2450000,2,150,41,5604,2849,0.0654,0.4837,0.2031,0.0398
enron6620000,2,150,15,3707,1804,0.023,0.2882,0.1726,0.0103
enron1660000,2,150,60,6677,3423,0.1003,0.606,0.221,0.0229
enron4980000,2,150,20,4225,2156,0.0316,0.3825,0.2072,0.0141
enron8750000,2,150,12,3277,1517,0.0157,0.2471,0.1541,0.0111
enron8130000,2,150,13,3396,1599,0.0171,0.2622,0.1629,0.0117
enron8680000,2,150,12,3275,1511,0.0159,0.243,0.152,0.0117
enron780000,2,150,126,9040,4412,0.2121,1.0321,0.2446,0.0291
enron5410000,2,150,19,4075,2071,0.0288,0.3292,0.2009,0.0133
enron5370000,2,150,19,4080,2045,0.0605,0.325,0.1911,0.0128
enron9270000,2,150,11,3183,1409,0.014,0.2353,0.1429,0.0109
enron4810000,2,150,21,4222,2108,0.0328,0.3358,0.1883,0.0117
enron8790000,2,150,12,3291,1532,0.0158,0.2479,0.1586,0.0119
enron2240000,2,150,44,5852,3011,0.1031,0.4941,0.2098,0.0197
enron5760000,2,150,18,3928,1936,0.0254,0.313,0.184,0.0137
enron2720000,2,150,37,5368,2752,0.0568,0.4442,0.2059,0.0194
enron1570000,2,150,63,6808,3466,0.1117,0.6341,0.234,0.0523
enron7400000,2,150,14,3475,1612,0.0178,0.2643,0.153,0.0093
enron8040000,2,150,13,3415,1602,0.0166,0.2606,0.1609,0.0091
enron5790000,2,150,17,3866,1890,0.0247,0.2989,0.1797,0.0122
enron810000,2,150,122,8900,4355,0.1994,1.0086,0.2501,0.0287
enron2440000,2,150,41,5641,2903,0.0652,0.4828,0.2354,0.0172
enron5130000,2,150,20,4040,1975,0.0273,0.3238,0.1777,0.0111
enron2580000,2,150,39,5565,2921,0.0641,0.48,0.2255,0.0178
enron3780000,2,150,26,4654,2364,0.0401,0.3848,0.2335,0.0151
enron2870000,2,150,35,5264,2695,0.0549,0.4452,0.208,0.0168
enron1240000,2,150,80,7445,3710,0.1309,0.719,0.2442,0.0243
enron9350000,2,150,11,3197,1423,0.0143,0.2433,0.1442,0.0082
enron2700000,2,150,37,5443,2798,0.0597,0.4612,0.2103,0.0187
