File,Gamma,DC
test0864,2,1249
test1279,2,129
test1003,2,489
test0021,2,213
test1312,2,874
test0923,2,154
test1041,2,461
test0501,2,63
test0926,2,267
test1495,2,675
test1175,2,554
test0863,2,464
test0456,2,116
test0048,2,461
test0881,2,778
test0199,2,578
test1475,2,1181
test0579,2,235
test0830,2,247
test0036,2,348
test0105,2,485
test0874,2,186
test0983,2,213
test1377,2,664
test0701,2,1045
test1450,2,905
test1310,2,193
test0953,2,336
test0301,2,513
test0365,2,145
test0698,2,15
test0627,2,293
test1267,2,358
test0574,2,854
test0393,2,262
test0724,2,126
test0679,2,648
test1363,2,477
test0255,2,1162
test1320,2,113
test0902,2,201
test1030,2,91
test1272,2,225
test0979,2,135
test1289,2,309
test1373,2,809
test1403,2,469
test1328,2,233
test0408,2,321
test1222,2,213
test1336,2,541
test1113,2,546
test0664,2,366
test0631,2,803
test1266,2,312
test0584,2,453
test0025,2,271
test0323,2,1106
test0612,2,23
test1119,2,457
test1484,2,353
test0906,2,366
test0556,2,454
test1253,2,76
test0209,2,201
test0279,2,320
test1220,2,721
test0610,2,675
test0568,2,400
test0469,2,336
test0106,2,141
test0310,2,544
test1011,2,615
test0810,2,61
test0720,2,395
test0759,2,183
test0656,2,423
test0155,2,31
test0725,2,460
test1093,2,278
test0970,2,134
test1249,2,289
test0893,2,41
test0019,2,470
test0688,2,39
test0792,2,920
test0113,2,36
test0331,2,305
test0119,2,13
test0716,2,1102
test1109,2,335
test1409,2,334
test1169,2,189
test0929,2,335
test0859,2,157
test1153,2,854
test0011,2,451
test0150,2,650
test0197,2,141
test0742,2,230
test0993,2,120
test0884,2,227
test0775,2,88
test1372,2,44
test0442,2,217
test0496,2,137
test1069,2,39
test1345,2,478
test0913,2,365
test0452,2,575
test0481,2,440
test1276,2,784
test0183,2,220
test1166,2,672
test1398,2,1065
test0707,2,1011
test1299,2,369
test0998,2,39
test1471,2,1104
test0606,2,196
test0225,2,119
test0110,2,455
test1383,2,140
test0717,2,656
test0836,2,41
test0171,2,886
test0890,2,1112
test1346,2,439
