File,Gamma,DC
test0745,2,0.2252
test1002,2,0.1197
test1086,2,0.1338
test1256,2,0.2595
test0705,2,0.0792
test1094,2,0.0041
test0390,2,0.0522
test0016,2,0.0854
test1349,2,0.1486
test0306,2,0.186
test1159,2,0.2316
test0835,2,0.0873
test1417,2,0.0046
test1148,2,0.0048
test0256,2,0.0041
test1258,2,0.0341
test0581,2,0.0298
test0100,2,0.0657
test0102,2,0.0901
test0800,2,0.0029
test0320,2,0.0812
test1020,2,0.0416
test0231,2,0.0252
test0062,2,0.067
test1257,2,0.0029
test0892,2,0.0251
test0910,2,0.038
test0570,2,0.0558
test0398,2,0.1076
test0028,2,0.0034
test0350,2,0.0062
test1327,2,0.0207
test0594,2,0.0122
test0533,2,0.0872
test0343,2,0.0608
test0807,2,0.0267
test0895,2,0.0029
test1026,2,0.0125
test0022,2,0.0013
test1265,2,0.0053
test0050,2,0.0315
test0198,2,0.0558
test0383,2,0.0124
test0658,2,0.0407
test1221,2,0.0048
test0816,2,0.0511
test0317,2,0.0033
test1385,2,0.012
test0098,2,0.0037
test0130,2,0.0454
test0507,2,0.1071
test1431,2,0.0435
test0870,2,0.0134
test0604,2,0.0372
test1435,2,0.0429
test1161,2,0.1103
test1100,2,0.0034
test0838,2,0.0135
test0683,2,0.0595
test1262,2,0.0067
test0861,2,0.0455
test0492,2,0.0233
test0230,2,0.024
test0737,2,0.0243
test1260,2,0.0723
test0114,2,0.0305
test0536,2,0.0251
test0358,2,0.0114
test1353,2,0.003
test0170,2,0.0247
test1047,2,0.0104
test0128,2,0.019
test0849,2,0.0064
test0617,2,0.0265
test0478,2,0.0196
test1414,2,0.0377
test1487,2,0.0652
test1317,2,0.0292
test0448,2,0.0486
test0107,2,0.0049
test0193,2,0.0043
test0417,2,0.0945
test1462,2,0.0564
test1149,2,0.0453
test1393,2,0.0095
test0565,2,0.0086
test1110,2,0.0017
test0271,2,0.0339
test1292,2,0.0051
test0272,2,0.0187
test0117,2,0.0412
test0650,2,0.0233
test0781,2,0.125
test1065,2,0.0142
test1076,2,0.0248
test0640,2,0.0226
test0534,2,0.0242
test0803,2,0.0026
test0506,2,0.0312
test1071,2,0.0034
test1240,2,0.0011
test1001,2,0.0053
test0555,2,0.155
test1270,2,0.041
test0508,2,0.092
test1441,2,0.0393
test1139,2,0.0598
test1318,2,0.0789
test0063,2,0.0011
test0980,2,0.1064
test1323,2,0.0707
test1035,2,0.0426
test0470,2,0.0146
test0637,2,0.0006
test1040,2,0.0077
test0755,2,0.0839
test1189,2,0.0573
test0476,2,0.0021
test1478,2,0.1046
test0583,2,0.0291
test1436,2,0.0832
test0134,2,0.0034
test0460,2,0.0031
test1362,2,0.0157
test0729,2,0.0336
test1133,2,0.0352
test0563,2,0.0168
test1339,2,0.0603
test0738,2,0.0308
test0378,2,0.0028
test1395,2,0.0486
test1382,2,0.0295
test0093,2,0.0018
test0991,2,0.0271
test1105,2,0.0245
test0916,2,0.0395
test1314,2,0.0307
test1246,2,0.008
test1434,2,0.1144
test0163,2,0.0233
test0125,2,0.0436
test1101,2,0.0145
test1005,2,0.0237
test0818,2,0.0378
test0799,2,0.0843
test1394,2,0.012
test0877,2,0.0831
test0784,2,0.0167
test0059,2,0.0482
test0898,2,0.0073
test0833,2,0.0703
test0834,2,0.0205
test1250,2,0.0173
test0258,2,0.0031
test0474,2,0.0764
test0299,2,0.0515
test0406,2,0.0441
test1298,2,0.0027
test0922,2,0.0036
test0626,2,0.0245
test1015,2,0.035
test1388,2,0.0067
test1301,2,0.0227
test1168,2,0.091
test1198,2,0.0507
test0952,2,0.0636
test1424,2,0.0016
test1082,2,0.011
test0779,2,0.0356
test1125,2,0.0108
test1192,2,0.0152
test0557,2,0.0055
test0086,2,0.003
test1135,2,0.0057
test0554,2,0.0424
test1460,2,0.0684
test0407,2,0.0087
test1126,2,0.0956
test0073,2,0.0579
test0351,2,0.0476
test0375,2,0.0506
test0748,2,0.0359
test1481,2,0.0044
test0060,2,0.001
test1083,2,0.003
test0396,2,0.0895
test1019,2,0.0371
test1124,2,0.0931
test1038,2,0.0555
test0207,2,0.1059
test1155,2,0.0027
test0023,2,0.0342
test0986,2,0.0067
test0029,2,0.0036
test0887,2,0.0168
test0395,2,0.0077
test0285,2,0.0082
test1443,2,0.0741
test0500,2,0.0825
test1018,2,0.0365
test1354,2,0.0266
test1396,2,0.0631
test0774,2,0.022
test0419,2,0.0089
test1492,2,0.0131
test0889,2,0.0193
test0901,2,0.0041
test1056,2,0.0247
test0444,2,0.0753
test1000,2,0.0264
test0164,2,0.0098
test0544,2,0.134
test1136,2,0.0713
test0976,2,0.0056
test0974,2,0.0018
test0422,2,0.0152
test1064,2,0.0145
test0447,2,0.0056
test0342,2,0.0946
test0731,2,0.0247
test1477,2,0.0092
test0030,2,0.0126
test0845,2,0.0344
test0187,2,0.0018
test0619,2,0.1277
test0053,2,0.103
test1333,2,0.043
test0621,2,0.0863
test1073,2,0.0197
test0921,2,0.0104
test0176,2,0.0138
test1143,2,0.0115
test0136,2,0.0736
test0897,2,0.0162
test0467,2,0.0412
test1024,2,0.0184
test0628,2,0.0014
test0596,2,0.0025
test0657,2,0.0024
test0509,2,0.0032
test1208,2,0.0106
test0730,2,0.0301
test1277,2,0.0143
test0061,2,0.0661
test0185,2,0.0223
test0293,2,0.0155
test0461,2,0.0868
test0248,2,0.0425
test1488,2,0.095
test1489,2,0.0876
test0665,2,0.0349
test1355,2,0.002
test0966,2,0.0013
test0796,2,0.0501
test0573,2,0.0276
test0566,2,0.0304
test0575,2,0.0042
test0825,2,0.0817
test1006,2,0.0634
test1430,2,0.0189
test0510,2,0.121
test0131,2,0.0038
test1499,2,0.1231
test0286,2,0.0018
test1233,2,0.0185
test1072,2,0.0413
test0224,2,0.0336
test0409,2,0.0095
test0623,2,0.0006
test1157,2,0.0898
test0770,2,0.0054
test0341,2,0.0419
test1426,2,0.0227
test0899,2,0.0385
test1271,2,0.0083
test1238,2,0.014
test1234,2,0.053
test1112,2,0.0373
test0374,2,0.0039
test0975,2,0.0346
test1027,2,0.0735
test1448,2,0.0854
test0532,2,0.005
test0535,2,0.0274
test1085,2,0.0202
test1075,2,0.1288
test1330,2,0.0197
test1152,2,0.011
test0630,2,0.0363
test1461,2,0.0406
test0933,2,0.0076
test0165,2,0.0624
test1232,2,0.1047
test1384,2,0.0557
test0389,2,0.0204
test1432,2,0.1106
test1131,2,0.0036
test1457,2,0.0203
test1342,2,0.0767
test1482,2,0.0299
test1197,2,0.0099
test1485,2,0.0717
test0960,2,0.0053
test0852,2,0.0245
test0831,2,0.0599
test0962,2,0.0423
test0252,2,0.001
test0614,2,0.0149
test1151,2,0.021
test0854,2,0.0351
test0069,2,0.0054
test0260,2,0.1068
test1025,2,0.0304
test0549,2,0.017
test1371,2,0.0651
test0813,2,0.0237
test0645,2,0.0063
test0003,2,0.0919
test1348,2,0.0045
test0585,2,0.0031
test0031,2,0.011
test0316,2,0.0235
test0735,2,0.003
test1473,2,0.0108
test0042,2,0.0013
test0274,2,0.0455
test0524,2,0.0813
test0914,2,0.0635
test0311,2,0.0241
test1111,2,0.0521
test0263,2,0.1062
test0413,2,0.0181
test0195,2,0.0222
test1181,2,0.0013
test0026,2,0.032
test0278,2,0.0301
test0848,2,0.0112
test0122,2,0.0033
test0392,2,0.0015
test0132,2,0.0369
test0055,2,0.0362
test0896,2,0.067
test1187,2,0.1131
test1433,2,0.0787
test0750,2,0.1034
test0629,2,0.0017
test0761,2,0.0078
test1296,2,0.0347
test0904,2,0.0018
test1130,2,0.0019
test0787,2,0.0514
test1214,2,0.0069
test0822,2,0.0332
test1062,2,0.0123
test1313,2,0.0281
test0211,2,0.0925
test0082,2,0.0493
test0359,2,0.1367
test0079,2,0.009
test1037,2,0.0025
test1193,2,0.0872
test0144,2,0.0125
test0485,2,0.0183
test1340,2,0.0022
test1483,2,0.0576
test0878,2,0.0131
test1404,2,0.0026
test0250,2,0.0174
test1428,2,0.0753
test0223,2,0.1239
test0032,2,0.0145
test0773,2,0.0282
test1440,2,0.0644
test0885,2,0.0223
test0196,2,0.0652
test0454,2,0.0427
test1268,2,0.0195
test0937,2,0.0387
test0240,2,0.011
test1053,2,0.0224
test0539,2,0.0303
test1375,2,0.0402
test0438,2,0.0592
test0727,2,0.029
test0891,2,0.0251
test0907,2,0.0846
test0672,2,0.0046
test0463,2,0.0052
test0056,2,0.0419
test0466,2,0.1388
test1177,2,0.0032
test1439,2,0.0035
test0208,2,0.0013
test0503,2,0.0129
test0560,2,0.023
test0850,2,0.0096
test0864,2,0.1245
test1279,2,0.0134
test1003,2,0.0517
test0021,2,0.013
test1312,2,0.1065
test0923,2,0.013
test1041,2,0.0432
test0501,2,0.004
test0926,2,0.0177
test1495,2,0.0558
test1175,2,0.0554
test0863,2,0.0455
test0456,2,0.0091
test0048,2,0.0335
test0881,2,0.0715
test0199,2,0.059
test1475,2,0.1043
test0579,2,0.0144
test0830,2,0.0211
test0036,2,0.0344
test0105,2,0.0365
test0874,2,0.0166
test0983,2,0.0201
test1377,2,0.0667
test0701,2,0.0986
test1450,2,0.1043
test1310,2,0.0156
test0953,2,0.0278
test0301,2,0.0452
test0365,2,0.0126
test0698,2,0.0011
test0627,2,0.0203
test1267,2,0.0265
test0574,2,0.0576
test0393,2,0.0214
test0724,2,0.0084
test0679,2,0.0757
test1363,2,0.0466
test0255,2,0.1189
test1320,2,0.0096
test0902,2,0.0203
test1030,2,0.0066
test1272,2,0.0194
test0979,2,0.0089
test1289,2,0.0278
test1373,2,0.0816
test1403,2,0.0499
test1328,2,0.0225
test0408,2,0.0256
test1222,2,0.0151
test1336,2,0.0446
test1113,2,0.0832
test0664,2,0.0392
test0631,2,0.0679
test1266,2,0.0298
test0584,2,0.0304
test0025,2,0.0233
test0323,2,0.1022
test0612,2,0.0014
test1119,2,0.0285
test1484,2,0.0398
test0906,2,0.0352
test0556,2,0.0297
test1253,2,0.005
test0209,2,0.0157
test0279,2,0.0267
test1220,2,0.0596
test0610,2,0.0755
test0568,2,0.0259
test0469,2,0.0293
test0106,2,0.0105
test0310,2,0.0404
test1011,2,0.0642
test0810,2,0.0039
test0720,2,0.0333
test0759,2,0.0102
test0656,2,0.0351
test0155,2,0.0027
test0725,2,0.0476
test1093,2,0.0228
test0970,2,0.0102
test1249,2,0.0267
test0893,2,0.0035
