File,Gamma,DC
test0881,2,0.1407
test0199,2,0.0968
test1475,2,0.2554
test0579,2,0.031
test0830,2,0.05
test0036,2,0.0692
test0105,2,0.0768
test0874,2,0.0274
test0983,2,0.0421
test1377,2,0.151
test0701,2,0.1965
test1450,2,0.2318
test1310,2,0.0294
test0953,2,0.0513
test0301,2,0.0872
test0365,2,0.0262
test0698,2,0.0017
test0627,2,0.0389
test1267,2,0.0451
test0574,2,0.173
test0393,2,0.0433
test0724,2,0.0143
test0679,2,0.116
test1363,2,0.0928
test0255,2,0.2287
test1320,2,0.0153
test0902,2,0.035
test1030,2,0.0132
test1272,2,0.0425
test0979,2,0.02
test1289,2,0.0565
test1373,2,0.1634
test1403,2,0.113
test1328,2,0.0344
test0408,2,0.0566
test1222,2,0.028
test1336,2,0.0837
test1113,2,0.1248
test0664,2,0.0564
test0631,2,0.1235
test1266,2,0.0536
test0584,2,0.0539
test0025,2,0.0313
test0323,2,0.2283
test0612,2,0.0026
test1119,2,0.0447
test1484,2,0.0478
test0906,2,0.0453
test0556,2,0.052
test1253,2,0.0092
test0209,2,0.0268
test0279,2,0.0427
test1220,2,0.0989
test0610,2,0.1125
test0568,2,0.0436
test0469,2,0.0486
test0106,2,0.0192
test0310,2,0.0605
test1011,2,0.1067
test0810,2,0.0077
test0720,2,0.0534
test0759,2,0.0168
test0656,2,0.0582
test0155,2,0.0046
test0725,2,0.0683
test1093,2,0.0331
test0970,2,0.0169
test1249,2,0.0448
test0893,2,0.0067
test0019,2,0.0646
test0688,2,0.0047
test0792,2,0.1727
test0113,2,0.0029
test0331,2,0.0376
test0119,2,0.0011
test0716,2,0.1936
test1109,2,0.0452
test1409,2,0.0658
test1169,2,0.0252
test0929,2,0.0505
test0859,2,0.0216
test1153,2,0.1135
test0011,2,0.0511
test0150,2,0.0912
test0197,2,0.0193
test0742,2,0.0309
test0993,2,0.0181
test0884,2,0.0367
test0775,2,0.0108
test1372,2,0.0065
test0442,2,0.0287
test0496,2,0.018
test1069,2,0.0044
test1345,2,0.0839
test0913,2,0.0506
test0452,2,0.081
test0481,2,0.0706
test1276,2,0.1353
test0183,2,0.0263
test1166,2,0.1046
test1398,2,0.1653
test0707,2,0.1364
test1299,2,0.062
test0998,2,0.0054
test1471,2,0.1942
test0606,2,0.0422
test0225,2,0.0144
test0110,2,0.0557
test1383,2,0.0176
test0717,2,0.1484
test0836,2,0.005
test0171,2,0.1651
test0890,2,0.2895
test1346,2,0.0871
test0112,2,0.0379
test0088,2,0.0541
test1084,2,0.0876
test0766,2,0.1095
test1203,2,0.0233
test0526,2,0.0825
test0523,2,0.0375
test0790,2,0.039
test0089,2,0.0661
test0782,2,0.0672
test0912,2,0.1659
test0355,2,0.0618
test1200,2,0.0556
test1321,2,0.2481
test0399,2,0.0724
test0327,2,0.012
test0302,2,0.0471
test0955,2,0.0289
test0000,2,0.0081
test0558,2,0.1225
test0352,2,0.007
test1479,2,0.1081
test0514,2,0.1275
test0074,2,0.0844
test1190,2,0.0369
test1470,2,0.0099
test0212,2,0.0135
test0663,2,0.027
test0743,2,0.0514
test0477,2,0.0712
test1402,2,0.2195
test0336,2,0.0615
test0601,2,0.123
test0337,2,0.1151
test0076,2,0.0114
test1144,2,0.0766
test1178,2,0.1016
test0182,2,0.0098
test0651,2,0.043
test0857,2,0.0234
test1055,2,0.0579
test0217,2,0.0052
test1300,2,0.001
test0360,2,0.056
test1134,2,0.0121
test1285,2,0.0831
test0147,2,0.0495
test0908,2,0.0449
test0752,2,0.0341
test1090,2,0.0639
test0903,2,0.004
test1378,2,0.0313
test1365,2,0.0547
test1182,2,0.0402
test0733,2,0.0913
test1066,2,0.0537
test1427,2,0.0045
test0420,2,0.0837
test1290,2,0.0821
test0865,2,0.0092
test1219,2,0.0621
test0700,2,0.0633
test1243,2,0.0762
test0237,2,0.023
test1408,2,0.0382
test0828,2,0.0056
test0357,2,0.0199
test0676,2,0.0128
test0746,2,0.0778
test1458,2,0.0027
test0097,2,0.0394
test0270,2,0.0105
test0290,2,0.0153
test1048,2,0.1415
test0034,2,0.0575
test1380,2,0.0055
test0686,2,0.0015
test0347,2,0.0268
test0644,2,0.0359
test1170,2,0.0088
test1496,2,0.002
test0160,2,0.0196
test0361,2,0.0234
test0314,2,0.0262
test0180,2,0.0175
test1209,2,0.0675
test0429,2,0.0517
test1179,2,0.0208
test0856,2,0.0123
test0559,2,0.0021
test0111,2,0.0697
test1081,2,0.1199
test0931,2,0.0415
test0726,2,0.0298
test0414,2,0.0272
test1447,2,0.1024
test1123,2,0.093
test0646,2,0.0029
test0220,2,0.0019
test0846,2,0.0306
test1239,2,0.0708
test0602,2,0.0048
test1399,2,0.0165
test0704,2,0.0347
test0179,2,0.0689
test0177,2,0.0324
test0070,2,0.0221
test0412,2,0.1362
test1291,2,0.0795
test1389,2,0.0648
test0744,2,0.0042
test1459,2,0.0976
test0708,2,0.0611
test0468,2,0.0723
test1454,2,0.0023
test0245,2,0.0161
test0978,2,0.0855
test0373,2,0.0021
test0821,2,0.0728
test0004,2,0.0336
test0618,2,0.095
test1418,2,0.0177
test0692,2,0.0267
test0101,2,0.13
test0973,2,0.0022
test1120,2,0.0473
test0455,2,0.0517
test0935,2,0.0074
test0634,2,0.0357
test1397,2,0.1053
test0174,2,0.0191
test0071,2,0.0419
test1195,2,0.0687
test0751,2,0.0842
test0777,2,0.0461
test1281,2,0.0078
test0719,2,0.0524
test0768,2,0.0883
test0552,2,0.019
test0043,2,0.0347
test0696,2,0.0242
test1022,2,0.0271
test0298,2,0.1575
test0371,2,0.0705
test1114,2,0.0345
test0370,2,0.0676
test0092,2,0.0756
test0588,2,0.0197
test1307,2,0.1277
test1180,2,0.1233
test0905,2,0.0165
test1263,2,0.0414
test0915,2,0.0931
test0291,2,0.0588
test0142,2,0.1052
test0685,2,0.0107
test0622,2,0.002
test0334,2,0.0561
test1347,2,0.0144
test1229,2,0.0187
test0450,2,0.0217
test0780,2,0.0037
test0108,2,0.1265
test0842,2,0.0277
test0589,2,0.0608
test0262,2,0.0206
test0990,2,0.002
test1252,2,0.0281
test0951,2,0.0016
test0511,2,0.0073
test1244,2,0.0111
test0820,2,0.0015
test0437,2,0.0037
test1174,2,0.08
test1269,2,0.0672
test0972,2,0.0057
test0613,2,0.048
test0992,2,0.0158
test1351,2,0.0181
test0005,2,0.0582
test0572,2,0.0839
test0338,2,0.0042
test0855,2,0.0599
test1156,2,0.0329
test0802,2,0.0024
test1224,2,0.011
test1021,2,0.0237
test0783,2,0.0345
test0551,2,0.0362
test0348,2,0.0024
test0120,2,0.0894
test0680,2,0.0006
test0741,2,0.0239
test0443,2,0.0081
test1366,2,0.036
test1140,2,0.0555
test0315,2,0.0495
test0425,2,0.0123
test0354,2,0.0255
test0446,2,0.0557
test0344,2,0.0034
test0917,2,0.0321
test0013,2,0.1554
test1413,2,0.0057
test0691,2,0.0024
test0697,2,0.011
test0017,2,0.0322
test0789,2,0.0371
test0161,2,0.0538
test0776,2,0.0593
test0103,2,0.0049
test0432,2,0.0511
test0927,2,0.005
test0172,2,0.0009
test0173,2,0.0428
test1306,2,0.0799
test0372,2,0.0305
test1254,2,0.0144
test0540,2,0.0949
test0129,2,0.0021
test0762,2,0.0276
test0292,2,0.0185
test0888,2,0.064
test0553,2,0.0204
test0312,2,0.0754
test0611,2,0.0774
test1057,2,0.004
test0154,2,0.0883
test0242,2,0.054
test0632,2,0.0031
test0969,2,0.0008
test0259,2,0.0219
test0880,2,0.0282
test0689,2,0.0022
test0239,2,0.0451
test0205,2,0.0234
test0911,2,0.0553
test0764,2,0.0048
test1013,2,0.059
test1188,2,0.1767
test0431,2,0.0295
test0218,2,0.0508
test0138,2,0.1449
test0580,2,0.0263
test0710,2,0.0411
test0367,2,0.0358
test1247,2,0.0351
test0756,2,0.0205
test1196,2,0.0207
test0872,2,0.1116
test0168,2,0.0378
test1420,2,0.1054
test0757,2,0.0574
test0505,2,0.0635
test0001,2,0.0012
test0116,2,0.0346
test1059,2,0.0098
test1364,2,0.0158
test0499,2,0.0525
test0669,2,0.0523
test0722,2,0.058
test0703,2,0.027
test0426,2,0.001
test0522,2,0.0043
test1034,2,0.0346
test1463,2,0.0457
test0564,2,0.0116
test0472,2,0.0165
test0345,2,0.0034
test0971,2,0.0459
test1451,2,0.0548
test0300,2,0.0947
test0427,2,0.0007
test1293,2,0.0578
test1392,2,0.0789
test0797,2,0.039
test0763,2,0.0428
test0571,2,0.0035
test0221,2,0.0796
test0758,2,0.0464
test0620,2,0.0799
test1046,2,0.0032
test0721,2,0.008
test0871,2,0.0869
test0018,2,0.0158
test1007,2,0.0027
test1236,2,0.0517
test0806,2,0.095
test0267,2,0.0021
test1023,2,0.0137
test0219,2,0.0372
test0397,2,0.1049
test1008,2,0.0793
test0415,2,0.0237
test0356,2,0.0202
test1261,2,0.079
test0678,2,0.0484
test1121,2,0.0126
test0077,2,0.0017
test1031,2,0.0161
test1077,2,0.0033
test0007,2,0.0605
test0829,2,0.1388
test1118,2,0.0708
test0041,2,0.036
test0900,2,0.129
test0215,2,0.0119
test1012,2,0.002
test0866,2,0.0333
test1051,2,0.0046
test0666,2,0.0155
test1259,2,0.0316
test0930,2,0.0033
test0307,2,0.0355
test0702,2,0.1207
test0349,2,0.0294
test0550,2,0.0107
test0157,2,0.0556
test0671,2,0.0654
test0233,2,0.0058
test0920,2,0.1219
test0977,2,0.0324
test1446,2,0.0742
test0445,2,0.0074
test0567,2,0.076
test0694,2,0.0128
test0760,2,0.0291
test0484,2,0.0228
test1173,2,0.0491
test1137,2,0.1377
test1376,2,0.0661
test0739,2,0.0043
test0335,2,0.062
test0945,2,0.0071
test0178,2,0.0165
test1230,2,0.039
test0490,2,0.0422
test0377,2,0.0293
test1255,2,0.0625
test0591,2,0.0316
test1415,2,0.0658
test0046,2,0.0083
test0928,2,0.002
test1010,2,0.0076
test0104,2,0.0185
test0394,2,0.0771
test0869,2,0.0046
test0712,2,0.0081
test0541,2,0.0417
test1092,2,0.0816
test0228,2,0.0356
test1337,2,0.009
test0681,2,0.0381
test0175,2,0.01
test0080,2,0.0244
test0593,2,0.0088
test0488,2,0.022
test0318,2,0.0566
test1374,2,0.0561
test1091,2,0.0189
test0369,2,0.0277
test0430,2,0.0034
test0747,2,0.0208
test0459,2,0.1384
test0033,2,0.0069
test0313,2,0.0249
test1061,2,0.0584
test0873,2,0.05
test0184,2,0.0036
test0326,2,0.0908
test1352,2,0.0243
test1287,2,0.0106
test0458,2,0.0178
test0660,2,0.086
test0699,2,0.023
test0006,2,0.0046
test0767,2,0.0544
test0282,2,0.0823
test0754,2,0.008
test0362,2,0.0325
test0934,2,0.0031
test0876,2,0.0079
test0599,2,0.1165
test0562,2,0.0122
test0234,2,0.0317
test1422,2,0.0661
test0785,2,0.049
test1237,2,0.0417
test1468,2,0.121
test0981,2,0.0325
test1107,2,0.0185
test0304,2,0.1573
test0411,2,0.0046
test0385,2,0.076
test0653,2,0.0053
test0961,2,0.0021
test0127,2,0.1123
test0718,2,0.0388
test1115,2,0.1169
test1302,2,0.0277
test1044,2,0.0744
test1379,2,0.0098
test1387,2,0.0323
test1050,2,0.04
test0502,2,0.0947
test1036,2,0.0246
test0957,2,0.0357
test0648,2,0.0786
test0495,2,0.0692
test0932,2,0.0073
test1029,2,0.121
test0525,2,0.0026
test0636,2,0.0415
test0400,2,0.0136
test0368,2,0.1225
test1425,2,0.0874
test0379,2,0.0139
test0363,2,0.0607
test0948,2,0.054
test0266,2,0.0438
test0235,2,0.0098
test1465,2,0.0586
test0749,2,0.0288
test0875,2,0.0012
test1162,2,0.0273
test0227,2,0.0035
test0084,2,0.0087
test0153,2,0.0195
test0295,2,0.0633
test0440,2,0.0161
test0545,2,0.0152
test0837,2,0.0401
test0139,2,0.0475
test1167,2,0.0013
test0095,2,0.0507
test0840,2,0.1431
test1325,2,0.0052
test0736,2,0.0012
test0616,2,0.0026
test0309,2,0.0331
test0711,2,0.0112
test0518,2,0.0202
test0241,2,0.0701
test0090,2,0.0141
test0094,2,0.0644
test0808,2,0.0103
test0162,2,0.0128
test1106,2,0.0384
test0015,2,0.0133
test1350,2,0.1516
test0936,2,0.0133
test0590,2,0.058
test0264,2,0.0383
test0436,2,0.0013
test0020,2,0.0052
test1282,2,0.0023
test1096,2,0.0351
test0959,2,0.0734
test0145,2,0.0934
test0995,2,0.0188
test0099,2,0.003
test1305,2,0.1539
test0561,2,0.0042
test0662,2,0.0126
test0288,2,0.0657
test1211,2,0.1078
test0037,2,0.0896
test0137,2,0.0205
test0213,2,0.0074
test0273,2,0.0063
test0586,2,0.0757
test0504,2,0.0016
test0625,2,0.0118
test0297,2,0.0747
test1104,2,0.0747
test0091,2,0.0213
test0471,2,0.0889
test0578,2,0.0166
test1359,2,0.0246
test1275,2,0.0133
test1231,2,0.0094
test0753,2,0.026
test0009,2,0.1054
test0659,2,0.0399
test1235,2,0.0926
test1421,2,0.0533
test0287,2,0.121
test1097,2,0.0086
test0600,2,0.1265
test0925,2,0.0162
test1322,2,0.0018
test0968,2,0.0994
test0812,2,0.0015
test0958,2,0.0143
test0332,2,0.036
test0051,2,0.0163
test1329,2,0.0008
test1028,2,0.0324
test0381,2,0.0764
test1213,2,0.0228
test1498,2,0.0265
test1419,2,0.0123
test1361,2,0.0131
test1165,2,0.0105
test0038,2,0.0017
test1452,2,0.0271
test0987,2,0.0904
test0251,2,0.0772
test1160,2,0.0346
test0734,2,0.0764
test0677,2,0.0607
test0832,2,0.0045
test0194,2,0.0028
test0690,2,0.0219
test1045,2,0.0882
test1370,2,0.021
test1386,2,0.0332
test0200,2,0.0385
test0673,2,0.0024
test1147,2,0.0299
test1476,2,0.0207
test1164,2,0.0303
test0152,2,0.0546
test0706,2,0.0218
test0595,2,0.0162
test0480,2,0.0194
test1088,2,0.0499
test0542,2,0.0132
test1199,2,0.0115
test1356,2,0.0465
test1453,2,0.064
test0823,2,0.0023
test0159,2,0.0069
test0418,2,0.0193
test1494,2,0.0036
test1294,2,0.0456
test1311,2,0.0874
test1225,2,0.0639
test1486,2,0.0522
test0772,2,0.0054
test0809,2,0.0406
test0254,2,0.0357
test0325,2,0.0282
test1474,2,0.014
test0386,2,0.0312
test1491,2,0.0432
test0947,2,0.093
test1049,2,0.0092
test0087,2,0.0511
test0066,2,0.0015
test0201,2,0.0038
test0275,2,0.0056
test0324,2,0.0488
test0498,2,0.0365
test1127,2,0.0048
test0894,2,0.1094
test0191,2,0.0049
test0346,2,0.0986
test0801,2,0.0737
test1132,2,0.0025
test0943,2,0.0049
test0740,2,0.049
test1410,2,0.0199
test0999,2,0.0294
test1367,2,0.0663
test0530,2,0.0255
test0989,2,0.021
test0226,2,0.0076
test0633,2,0.026
test1278,2,0.0745
test0940,2,0.0147
test1455,2,0.0096
test1437,2,0.0086
test0638,2,0.0522
test0075,2,0.0034
test0965,2,0.0063
test0387,2,0.0212
test0229,2,0.0268
test1303,2,0.0283
test1014,2,0.0327
test0489,2,0.009
test0083,2,0.0239
test1400,2,0.0013
test1341,2,0.032
test1245,2,0.0927
test1217,2,0.0579
test0081,2,0.0797
test1369,2,0.0214
test1438,2,0.0239
test0769,2,0.0038
test0044,2,0.0081
test1467,2,0.022
test1142,2,0.0158
test1216,2,0.0904
test1390,2,0.045
test1016,2,0.0401
test0592,2,0.0567
test0047,2,0.008
test0181,2,0.011
test0115,2,0.0427
test1017,2,0.011
test1060,2,0.0682
test1358,2,0.0765
test0010,2,0.0382
test1304,2,0.0209
test0064,2,0.0202
test0603,2,0.0374
test0667,2,0.0034
test1405,2,0.1719
test0851,2,0.0465
test0569,2,0.1295
test0464,2,0.1304
test0641,2,0.0329
test0732,2,0.0359
test1223,2,0.1115
test0882,2,0.0024
test0169,2,0.0037
test1103,2,0.0107
test1412,2,0.0041
test0949,2,0.1399
test0238,2,0.0461
test0203,2,0.0218
test0423,2,0.0854
test0012,2,0.0268
test0045,2,0.0287
test1079,2,0.0167
test0805,2,0.003
test1068,2,0.0147
test0819,2,0.0176
test0479,2,0.0746
test0670,2,0.1393
test0192,2,0.0157
test0364,2,0.0178
test0997,2,0.0626
test1472,2,0.0279
test1326,2,0.0191
test1141,2,0.0869
test0605,2,0.002
test1128,2,0.0544
test1334,2,0.1368
test1357,2,0.0143
test0257,2,0.0086
test0167,2,0.002
test0654,2,0.0413
test1464,2,0.0032
test1150,2,0.0578
test1283,2,0.0034
test1297,2,0.0076
test0453,2,0.0066
test0547,2,0.0801
test0109,2,0.0719
test1117,2,0.015
test1343,2,0.1228
test0294,2,0.0758
test0283,2,0.0888
test1202,2,0.0476
test1274,2,0.0148
test0713,2,0.0171
test0214,2,0.0092
test1171,2,0.0281
test0475,2,0.0617
test0693,2,0.0381
test1429,2,0.0881
test0728,2,0.0951
test0985,2,0.0578
test0244,2,0.0021
test1043,2,0.0897
test0243,2,0.0152
test1095,2,0.0567
test0786,2,0.0536
test0462,2,0.0407
test0054,2,0.0308
test1381,2,0.1023
test1338,2,0.0625
test0924,2,0.0069
test0668,2,0.0165
test1207,2,0.0251
test1469,2,0.0471
test0674,2,0.0677
test0956,2,0.0787
test0938,2,0.0021
test1360,2,0.0041
test0941,2,0.0887
test0232,2,0.0047
test0868,2,0.0176
test1172,2,0.0036
test1186,2,0.0058
test1309,2,0.0736
test0942,2,0.0034
test0284,2,0.0695
test0141,2,0.0045
test1102,2,0.0238
test0513,2,0.0535
test1227,2,0.0101
test0684,2,0.0821
test1480,2,0.0432
test0493,2,0.0546
test0189,2,0.0596
test0824,2,0.136
test1406,2,0.0721
test1332,2,0.0377
test0791,2,0.0209
test1201,2,0.1103
test0642,2,0.0771
test0950,2,0.0354
test0216,2,0.003
test1242,2,0.027
test0771,2,0.1623
test0723,2,0.0527
test0035,2,0.0031
test1185,2,0.112
test0388,2,0.0333
test1116,2,0.0342
test0236,2,0.0119
test0963,2,0.0099
test1042,2,0.0057
test0246,2,0.1052
test0661,2,0.0617
test0639,2,0.0522
test0577,2,0.0035
test1063,2,0.0199
test0085,2,0.0575
test1401,2,0.0834
test0433,2,0.011
test1442,2,0.0675
test0515,2,0.0156
test0424,2,0.0558
test0072,2,0.0205
test1411,2,0.0945
test0531,2,0.054
test1445,2,0.0802
test1391,2,0.0336
test0853,2,0.0587
test0068,2,0.0854
test0520,2,0.0299
test0804,2,0.0058
test0815,2,0.012
test0166,2,0.0238
test0058,2,0.0068
test1228,2,0.0077
test0967,2,0.0775
test0451,2,0.0096
test0321,2,0.0169
test0057,2,0.0111
test1206,2,0.023
test1070,2,0.0025
test0709,2,0.0041
test0024,2,0.0248
test0839,2,0.0924
test1204,2,0.0076
test0598,2,0.0536
test0206,2,0.0287
test1280,2,0.0022
test0655,2,0.0539
test0403,2,0.0761
test0281,2,0.0896
test0156,2,0.0074
test1284,2,0.0613
test0473,2,0.0497
