File,Gamma,V,T,E,G_Edges,BBR19,LS,LSsort,DC,varNbGMTLS,varNbGMTDC,varNbGMTBBR19,varNbGMTLSsort
gen_enron,10,150.0,74.048,5092.933,196.75,0.0112,1.2757,0.0299,0.0145,0.0654,0.0003,0.0002,0.001
gen_rollernet,10,62.0,60.243,22088.128,929.122,0.0642,27.3267,0.2568,0.0543,2.3847,0.002,0.0126,0.0075
gen_B1,10,114.4303,1161.2989,22898.3082,0.0,0.0259,20.3758,0.0258,0.0387,4.3552,0.0006,0.0004,0.0004
gen_B2,10,139.212,137.5173,10471.9153,41.1953,0.0119,7.6075,0.013,0.031,2.4306,0.0007,0.0003,0.0003
