File,Gamma,V,T,E,V_living,G_Edges,BBR19,LS,LSAR,DEC,varNbGMLS,varNbGMDEC,varNbGMBBR19,varNbGMLSAR
gen_enron,2,150.0,74.048,5092.933,2548.086,2397.528,305.207,325.804,323.772,358.552,8.2145,9.1232,7.9177,8.1682
gen_rellornet,2,150.0,74.048,5092.933,2548.086,2397.528,305.207,325.804,323.772,358.552,8.2145,9.1232,7.9177,8.1682
gen_B1,2,150.0,74.048,5092.933,2548.086,2397.528,305.207,325.804,323.772,358.552,8.2145,9.1232,7.9177,8.1682
gen_B2,2,150.0,74.048,5092.933,2548.086,2397.528,305.207,325.804,323.772,358.552,8.2145,9.1232,7.9177,8.1682
